# Thẻ BỔ SUNG cho người học A1 — nhóm tần suất trung bình còn lại.
# Đã bỏ các mục nhiễu trong candidates-a1.txt: dạng sở hữu ("team's" — matcher vẫn khớp "team"),
# tên riêng (john, sam), và từ viết tắt của chính app (pmi, acp).
# Định dạng: id | category | surfaceForms | ipa | pos | senseEn | translationVi | definitionVi | exampleEn

vocab-practice-n | vocabulary | practice, practices, practiced, practicing, practise | /ˈpræktɪs/ | n | a way of doing something that is established and repeated | thực hành, cách làm đã thành nếp | "Agile practices" = các cách làm cụ thể (standup, pairing, CI). Nhỏ hơn framework, lớn hơn một thao tác lẻ. | Adopting practices without the mindset gives you agile in name only.
vocab-couple | exam-phrase | couple, a couple of | /ˈkʌpl/ | n | two, or a small number | một vài, đôi ba | Nguyên tắc Agile số 3 dùng nguyên văn: giao hàng "from a couple of weeks to a couple of months". | Deliver working software from a couple of weeks to a couple of months.
vocab-hear | vocabulary | hear, hears, heard, hearing | /hɪr/ | v | to receive sound; to be told something | nghe, nghe nói | Quá khứ bất quy tắc: heard. Khác "listen" (chủ động lắng nghe) — active listening là kỹ năng, hear thì bị động. | Hearing is passive; active listening takes effort.
vocab-educate | vocabulary | educate, educates, educated, educating, education | /ˈedʒukeɪt/ | v | to teach someone about something | giáo dục, chỉ dẫn | Vai trò của Scrum Master với tổ chức: educate mọi người về Agile, không chỉ phục vụ nhóm. | The scrum master educates the wider organisation about Scrum.
vocab-unknown | vocabulary | unknown, unknowns | /ˌʌnˈnoʊn/ | adj | not known | chưa biết, ẩn số | "Known unknowns" (biết là mình chưa biết) và "unknown unknowns" (không biết là mình chưa biết) — càng nhiều unknown càng phải làm adaptive. | The more unknowns there are, the shorter the planning horizon.
vocab-advance | exam-phrase | advance, in advance | /ədˈvæns/ | n | forward movement; before the time needed | sự tiến lên; trước | Cụm "in advance" = trước, sẵn từ đầu — đồng nghĩa upfront, hay gắn với cách làm predictive. | Deciding everything in advance wastes the learning you gain later.
vocab-instruct | vocabulary | instruct, instructs, instructed, instructing, instruction, instructions | /ɪnˈstrʌkt/ | v | to tell someone officially what to do | chỉ thị, ra lệnh | TỪ CẢNH BÁO: "instruct the team to…" trái với self-organization — thường là đáp án sai. | Instructing the team removes their ownership of the solution.
vocab-staff | vocabulary | staff, staffing, staffed | /stæf/ | n | the people who work for an organisation | nhân sự, đội ngũ | "Staffing" = bố trí nhân sự. Nhóm ổn định lâu dài luôn tốt hơn ghép người theo từng dự án. | Stable staffing produces more predictable delivery.
vocab-arrange | vocabulary | arrange, arranges, arranged, arranging, arrangement | /əˈreɪndʒ/ | v | to organise or plan something | sắp xếp, thu xếp | "Arrange a meeting/session" — hành động cụ thể hay xuất hiện trong đáp án đúng. | Arrange a session with the subject matter expert.
vocab-divide | vocabulary | divide, divides, divided, dividing, division | /dɪˈvaɪd/ | v | to separate into parts | chia | Gần nghĩa split và break down. "Divided attention" = sự chú ý bị chia sẻ, hệ quả của multitasking. | Divided attention lowers quality on every task.
vocab-middle | exam-phrase | middle, in the middle of | /ˈmɪdl/ | n | the central part | giữa, ở giữa | "In the middle of the sprint" = giữa sprint — thời điểm mọi thay đổi trở nên tốn kém nhất. | A change in the middle of the sprint threatens the sprint goal.
vocab-grow | vocabulary | grow, grows, grew, grown, growth, growing | /ɡroʊ/ | v | to become bigger or develop | phát triển, lớn lên | Quá khứ bất quy tắc: grew/grown. "Growth mindset" = tư duy phát triển, tin rằng năng lực rèn được. | A growth mindset makes retrospectives actually work.
vocab-drive | vocabulary | drive, drives, drove, driven, driving | /draɪv/ | v | to cause something to happen or move forward | thúc đẩy, dẫn dắt | Quá khứ bất quy tắc: drove/driven. "Drive the behaviour" = tạo ra hành vi — cảnh báo về việc đo sai chỉ số. | The wrong metric drives exactly the wrong behaviour.
vocab-world | exam-phrase | world, real world, real-world | /wɜːrld/ | n | the earth and everyone on it; actual practice | thế giới; thực tế | "Real-world" = trong thực tế, đối lập với lý thuyết. Đề PMI-ACP hầu hết là tình huống real-world. | In the real world, teams rarely have perfect information.
vocab-welcome | vocabulary | welcome, welcomes, welcomed, welcoming | /ˈwelkəm/ | v | to receive something gladly | chào đón, hoan nghênh | Nguyên tắc Agile số 2 nguyên văn: "WELCOME changing requirements, even late in development". | Welcome changing requirements, even late in development.
vocab-accumulate | vocabulary | accumulate, accumulates, accumulated, accumulating | /əˈkjuːmjəleɪt/ | v | to build up gradually over time | tích tụ, dồn lại | Technical debt ACCUMULATE nếu không trả dần — mỗi lần "để sau" là một khoản lãi cộng thêm. | Technical debt accumulates quietly until it stops the team.
vocab-expensive | vocabulary | expensive | /ɪkˈspensɪv/ | adj | costing a lot of money | đắt, tốn kém | Nguyên tắc chi phí thay đổi: lỗi phát hiện càng muộn càng expensive để sửa. | Changes are cheap early and expensive late.
vocab-pay | vocabulary | pay, pays, paid, paying, payment | /peɪ/ | v | to give money for something | trả tiền | "Pay down technical debt" = trả dần nợ kỹ thuật bằng refactoring — cách nói ẩn dụ rất hay gặp. | The team pays down technical debt a little each sprint.
vocab-mentor-v | vocabulary | mentor, mentors, mentored, mentorship | /ˈmentɔːr/ | v | to guide someone less experienced | dìu dắt, cố vấn | Mentoring là CHIA SẺ kinh nghiệm của mình; coaching là GIÚP người kia tự tìm câu trả lời. Đừng nhầm hai vai trò. | Mentoring shares your answers; coaching draws out theirs.
vocab-pattern | vocabulary | pattern, patterns, anti-pattern | /ˈpætərn/ | n | a repeated way that something happens | khuôn mẫu, quy luật lặp | "Anti-pattern" = cách làm nghe hợp lý nhưng thực tế gây hại — rất nhiều đáp án nhiễu chính là anti-pattern. | Assigning tasks to individuals is a well-known anti-pattern.
vocab-block | vocabulary | block, blocks, blocked, blocking | /blɑːk/ | v | to stop something from moving forward | chặn, cản trở | "Blocked item" trên board phải được đánh dấu rõ và xử lý trước mọi việc khác. | A blocked item is the team's highest priority to resolve.
vocab-extremely | exam-phrase | extremely, highly, very | /ɪkˈstriːmli/ | adv | to a very great degree | cực kỳ, hết sức | Từ tăng mức độ. Chú ý: đáp án dùng từ tuyệt đối quá mạnh ("extremely important to always…") thường đáng nghi. | The dependency was extremely risky for the release date.
vocab-logical | vocabulary | logical, logically, logic | /ˈlɑːdʒɪkl/ | adj | based on clear reasoning | hợp logic | "The logical next step" = bước tiếp theo hợp lý — cách hỏi hành động kế tiếp. | What is the logical next step for the team?
vocab-log | vocabulary | log, logs, logged, logging | /lɔːɡ/ | v | to record something in a list | ghi nhận vào sổ | "Log the risk/defect" = ghi rủi ro vào risk register hay ghi lỗi vào hệ thống theo dõi. | Log the risk in the register with its probability and impact.
vocab-realistic | vocabulary | realistic, realistically | /ˌriːəˈlɪstɪk/ | adj | sensible and possible in practice | thực tế, khả thi | "An unrealistic deadline" mở đầu rất nhiều tình huống — cách xử lý đúng là minh bạch dữ liệu, không im lặng nhận. | Show the data rather than silently accepting an unrealistic deadline.
vocab-loss | vocabulary | loss, losses, lose, loses, lost, losing | /lɔːs/ | n | the fact of no longer having something | sự mất mát | Quá khứ bất quy tắc: lost. "Knowledge loss" khi người rời nhóm là rủi ro thật, giảm bằng pairing và collective ownership. | Pairing reduces the knowledge loss when someone leaves.
vocab-opposite | exam-phrase | opposite, contrary, on the contrary | /ˈɑːpəzət/ | adj | completely different in a way that contrasts | trái ngược | "The opposite effect" = tác dụng ngược — hệ quả hay gặp khi áp dụng practice mà không hiểu mục đích. | The new rule had the opposite effect on morale.
vocab-appear | vocabulary | appear, appears, appeared, appearing | /əˈpɪr/ | v | to seem; to become visible | có vẻ; xuất hiện | Sắc thái CHƯA chắc chắn giống "seem": "it appears that…" = có vẻ như… — cần kiểm chứng thêm. | It appears that the root cause is unclear requirements.
vocab-recent | vocabulary | recent, recently | /ˈriːsnt/ | adj | happening a short time ago | gần đây | "Recent sprints" = vài sprint gần đây — khoảng dữ liệu dùng để forecast, vì nó phản ánh tình trạng hiện tại. | Use the most recent sprints for the forecast.
vocab-stick | exam-phrase | stick, sticks, sticking, stick to | /stɪk/ | v | to continue following something | bám theo, tuân theo | "Stick to the plan" thường là bẫy: bám cứng kế hoạch dù đã có thông tin mới là tư duy predictive. | Sticking to the plan despite new evidence is not discipline.
vocab-voice | vocabulary | voice, voices, voiced, voicing | /vɔɪs/ | n | the sound you make speaking; the right to be heard | tiếng nói, quyền lên tiếng | "Everyone has a voice" = ai cũng được nói — nguyên tắc facilitate. "Voice a concern" = lên tiếng bày tỏ lo ngại. | Make sure the quietest member still has a voice.
vocab-serious | vocabulary | serious, seriously, seriousness | /ˈsɪriəs/ | adj | severe and needing attention | nghiêm trọng | "A serious impediment" đòi hỏi hành động ngay, có thể escalate nếu vượt thẩm quyền nhóm. | This is a serious impediment that blocks the whole release.
vocab-complicated | vocabulary | complicated, complicate, complication | /ˈkɑːmplɪkeɪtɪd/ | adj | having many parts and hard to understand | rắc rối, phức tạp rối rắm | Trong Cynefin, COMPLICATED (chuyên gia phân tích ra được) KHÁC COMPLEX (chỉ hiểu sau khi thử). Đừng dùng lẫn. | A complicated problem needs an expert; a complex one needs an experiment.
vocab-topic | vocabulary | topic, topics | /ˈtɑːpɪk/ | n | a subject being discussed | chủ đề | "Off-topic" = lạc đề — chuyện lạc đề nên đưa vào parking lot để bàn sau. | Park the off-topic discussion and move on.
vocab-industry | vocabulary | industry, industries | /ˈɪndəstri/ | n | a branch of business producing a type of goods or service | ngành, lĩnh vực | "Industry standard" = chuẩn chung của ngành. Ràng buộc theo ngành (y tế, tài chính) hay dẫn tới hybrid. | Regulated industries often need a hybrid approach.
vocab-teammate | vocabulary | teammate, teammates, colleague, colleagues | /ˈtiːmmeɪt/ | n | a person on the same team as you | đồng đội | Từ trung tính để chỉ thành viên khác trong nhóm, hay xuất hiện trong tình huống xung đột cá nhân. | One teammate consistently interrupted the others.
vocab-portion | vocabulary | portion, portions | /ˈpɔːrʃn/ | n | a part of a whole | phần, một phần | "A portion of the backlog" = một phần backlog. Gần nghĩa part nhưng trang trọng hơn. | Only a small portion of the backlog is refined in detail.
vocab-guarantee | vocabulary | guarantee, guarantees, guaranteed | /ˌɡærənˈtiː/ | v | to promise that something will certainly happen | bảo đảm, cam kết chắc chắn | CẢNH BÁO: không ai guarantee được ngày giao trong môi trường phức tạp — đưa forecast kèm khoảng, đừng hứa chắc. | No one can guarantee a date in a complex environment.
vocab-graph | vocabulary | graph, graphs, chart, charts, diagram | /ɡræf/ | n | a picture showing how numbers relate | biểu đồ, đồ thị | Nhóm biểu đồ cần đọc được trong đề: burndown, burnup, cumulative flow, control chart. | Read the shape of the graph, not just the last data point.
vocab-zero | vocabulary | zero, none | /ˈzɪroʊ/ | n | the number 0; nothing | số không | Burndown chart đi xuống hướng tới zero. "Zero defects" là mục tiêu chất lượng lý tưởng. | The burndown line should trend toward zero.
vocab-shorten | vocabulary | shorten, shortens, shortened, shortening | /ˈʃɔːrtn/ | v | to make something shorter | rút ngắn | "Shorten the feedback loop" = rút ngắn vòng phản hồi — mục tiêu trung tâm của mọi practice Agile. | Everything in Agile aims to shorten the feedback loop.
vocab-submit | vocabulary | submit, submits, submitted, submitting, submission | /səbˈmɪt/ | v | to give something officially for consideration | nộp, đệ trình | "Submit a change request" là quy trình predictive; Agile thì đưa thẳng vào backlog để PO xếp ưu tiên. | Instead of a change request form, add it to the backlog.
vocab-negative | vocabulary | negative, negatively | /ˈneɡətɪv/ | adj | bad or harmful; less than zero | tiêu cực; âm | "Negative risk" = threat. "Negative feedback" cần đưa riêng tư và mang tính xây dựng. | A negative risk is a threat; a positive risk is an opportunity.
vocab-simpler | exam-phrase | simpler | /ˈsɪmplər/ | adj | less complicated | đơn giản hơn | Nguyên tắc số 10 ủng hộ giải pháp đơn giản nhất chạy được: "the simplest thing that could possibly work". | Choose the simplest thing that could possibly work.
vocab-transparent | vocabulary | transparent, transparently | /trænsˈpærənt/ | adj | open and easy for everyone to see | minh bạch | Tính từ của transparency — một trong ba trụ cột của empiricism cùng inspection và adaptation. | Keep the progress transparent, even when it is bad news.
vocab-high-priority | vocabulary | high-priority | /ˌhaɪ praɪˈɔːrəti/ | adj | needing to be done before other things | ưu tiên cao | "Highest-value item" luôn nằm trên đỉnh backlog và được làm trước. | Pull the highest-value item first, always.
vocab-precise | vocabulary | precise, precisely, precision | /prɪˈsaɪs/ | adj | exact and detailed | chính xác đến chi tiết | Phân biệt với accurate: precise = CHI TIẾT/mịn; accurate = ĐÚNG với thực tế. Ước lượng có thể precise mà sai. | Roughly right is better than precisely wrong.
vocab-partner | vocabulary | partner, partners, partnership | /ˈpɑːrtnər/ | n | a person or organisation you work with | đối tác | "Partnership with the customer" là tinh thần của agile contract: cùng chịu rủi ro, không đối đầu qua hợp đồng. | Treat the customer as a partner, not an opponent.
vocab-series | vocabulary | series, a series of | /ˈsɪriːz/ | n | a number of similar things coming one after another | chuỗi, loạt | Danh từ số ít và số nhiều viết giống nhau. "A series of sprints" = một chuỗi sprint. | A release is delivered over a series of sprints.
vocab-foundation | vocabulary | foundation, foundations, foundational | /faʊnˈdeɪʃn/ | n | the base on which something is built | nền tảng, nền móng | "Trust is the foundation of…" — cách diễn đạt rất hay gặp khi nói về nhóm hiệu quả. | Trust is the foundation of every high-performing team.
