# Thẻ từ vựng BỔ SUNG — nhóm 2: từ vựng tần suất trung bình + thuật ngữ chuyên môn còn thiếu.
# Định dạng: id | category | surfaceForms | ipa | pos | senseEn | translationVi | definitionVi | exampleEn

vocab-formal | vocabulary | formal, formally, informal, informally | /ˈfɔːrml/ | adj | following official rules and procedures | chính thức, trang trọng | Cặp đối chiếu hay gặp: formal process (quy trình chính thức, nhiều giấy tờ) vs informal conversation (trao đổi thân mật). Agile ưu tiên vế sau khi có thể. | An informal conversation often resolves the issue faster than a formal change request.
vocab-strategic | vocabulary | strategic, strategically | /strəˈtiːdʒɪk/ | adj | relating to long-term goals rather than immediate tasks | mang tính chiến lược | Đối lập "tactical/operational". Roadmap là công cụ strategic, task board là công cụ tactical. | The roadmap serves a strategic conversation, not a daily one.
vocab-midway | vocabulary | midway, mid-sprint, mid-iteration | /ˈmɪdweɪ/ | adv | at the halfway point of a period or process | giữa chừng | Tình huống rất hay gặp: "mid-sprint, a stakeholder requests…" — kiểm tra bạn có biết cách xử lý thay đổi giữa sprint không. | Mid-sprint, a stakeholder asked the team to add a new feature.
vocab-independently | vocabulary | independently, independent, independence | /ˌɪndɪˈpendəntli/ | adv | without depending on or being controlled by others | một cách độc lập | Chữ I trong INVEST: story nên "independent" — làm được mà không cần chờ story khác. | Independent stories can be reordered without breaking anything.
vocab-boundary | vocabulary | boundary, boundaries | /ˈbaʊndəri/ | n | a limit that defines what is inside and outside something | ranh giới, giới hạn | Self-organization vẫn cần boundary: nhóm tự do trong một khung do tổ chức đặt ra, không phải vô giới hạn. | Self-organization works inside clear boundaries, not without them.
vocab-transition | vocabulary | transition, transitions, transitioning | /trænˈzɪʃn/ | n | the process of changing from one state to another | sự chuyển đổi, quá độ | "Agile transition/transformation" = quá trình tổ chức chuyển sang cách làm Agile, thường kéo dài và gặp kháng cự. | During the agile transition, some managers resisted losing control.
vocab-bypass | vocabulary | bypass, bypasses, bypassed, bypassing | /ˈbaɪpæs/ | v | to go around a person or process instead of through it | đi vòng, bỏ qua (quy trình) | Tình huống cảnh báo: stakeholder "bypasses the product owner" và giao việc thẳng cho lập trình viên — hành vi cần được xử lý. | A stakeholder bypassed the product owner and asked a developer directly.
vocab-probability | vocabulary | probability, probabilities, probable, probably | /ˌprɑːbəˈbɪləti/ | n | how likely it is that something will happen | xác suất, khả năng xảy ra | Cùng với impact, đây là hai trục để xếp hạng rủi ro. Monte Carlo cho ra kết quả dạng probability. | Rank each risk by probability and impact before responding.
vocab-remote | vocabulary | remote, remotely | /rɪˈmoʊt/ | adj | working from a different physical location | từ xa | Nhóm remote mất osmotic communication, nên phải bù bằng công cụ và nghi thức giao tiếp rõ ràng hơn. | Remote teams lose osmotic communication and must compensate deliberately.
vocab-one-on-one | vocabulary | one-on-one, one on one, 1:1 | /ˌwʌn ɑːn ˈwʌn/ | adj | involving only two people talking directly | trao đổi tay đôi, một-một | Cách đúng để xử lý vấn đề cá nhân: nói riêng một-một, không nêu tên trong retrospective. | The coach had a one-on-one conversation with the dominant team member.
vocab-diverse | vocabulary | diverse, diversity | /daɪˈvɜːrs/ | adj | including many different kinds of people or things | đa dạng | Nhóm đa dạng ra quyết định tốt hơn vì có nhiều góc nhìn — cách phòng groupthink hiệu quả. | A diverse team challenges assumptions that a homogeneous one would miss.
vocab-reward | vocabulary | reward, rewards, rewarded, rewarding | /rɪˈwɔːrd/ | n | something given in recognition of effort or achievement | phần thưởng | CẢNH BÁO: thưởng theo CÁ NHÂN phá vỡ tinh thần đồng đội. Agile ưu tiên ghi nhận theo NHÓM. | Individual rewards undermine the collective ownership of the sprint goal.
vocab-reject | vocabulary | reject, rejects, rejected, rejecting, rejection | /rɪˈdʒekt/ | v | to refuse to accept something | từ chối, không chấp nhận | Trong sprint review, Product Owner có thể "reject" một item nếu chưa đạt acceptance criteria. | The product owner rejected the item because one acceptance criterion failed.
vocab-argue | vocabulary | argue, argues, argued, arguing, argument, arguments | /ˈɑːrɡjuː/ | v | to give reasons for or against something; to quarrel | tranh luận; cãi nhau | Hai sắc thái: tranh luận có lý lẽ (lành mạnh) hoặc cãi vã (cần can thiệp). Ngữ cảnh quyết định nghĩa nào. | The two developers argued about the design for the entire standup.
vocab-versus | vocabulary | versus, vs, vs. | /ˈvɜːrsəs/ | prep | as opposed to; in contrast with | so với, đối lập với | Dấu hiệu câu hỏi so sánh hai khái niệm. Rất hay gặp trong giải thích: "iterative versus incremental". | This is a question of value versus effort.
vocab-utilize | vocabulary | utilize, utilizes, utilized, utilizing, utilisation, utilization | /ˈjuːtəlaɪz/ | v | to make practical use of something | tận dụng, sử dụng | Cảnh báo Lean: chạy "100% utilization" (dùng hết công suất người) làm hàng đợi dài ra và lead time tăng vọt. | Pushing for 100% utilisation lengthens queues and slows delivery.
vocab-excellence | vocabulary | excellence, excellent | /ˈeksələns/ | n | the quality of being extremely good | sự xuất sắc | Nguyên tắc Agile số 9 nguyên văn: "continuous attention to technical excellence and good design enhances agility". | Continuous attention to technical excellence enhances agility.
vocab-ideally | vocabulary | ideally, ideal | /aɪˈdiːəli/ | adv | in the best possible situation, if everything went perfectly | lý tưởng nhất là | Tín hiệu cho thấy đề đang mô tả trạng thái LÝ TƯỞNG, có thể khác thực tế của tình huống. | Ideally the product owner sits with the team every day.
vocab-beneficial | vocabulary | beneficial | /ˌbenɪˈfɪʃl/ | adj | producing a good or helpful result | có lợi, hữu ích | Trang trọng hơn "useful". Câu hỏi "which would be most beneficial?" = cách nào mang lại lợi ích lớn nhất. | Pairing would be most beneficial while the new member is learning the codebase.
vocab-modify | vocabulary | modify, modifies, modified, modifying, modification | /ˈmɑːdɪfaɪ/ | v | to change something slightly to improve it or fit a need | sửa đổi, điều chỉnh | Trung tính hơn "change". Hay gặp: modify the process, modify the acceptance criteria. | The team modified its definition of done to include a security check.
vocab-revisit | vocabulary | revisit, revisits, revisited, revisiting | /riːˈvɪzɪt/ | v | to look at or consider something again | xem xét lại | Hành động đúng khi hoàn cảnh đã đổi: "revisit the estimate / the plan / the working agreement". | Revisit the working agreement whenever a new member joins.
vocab-frustration | vocabulary | frustration, frustrations, frustrated, frustrating | /frʌˈstreɪʃn/ | n | annoyance caused by being unable to make progress | sự bực bội, thất vọng | Tín hiệu chẩn đoán: "the team is frustrated" báo hiệu có impediment kéo dài chưa được xử lý. | The team's frustration came from an impediment nobody had removed.
vocab-recognize | vocabulary | recognize, recognizes, recognized, recognizing, recognition, recognise | /ˈrekəɡnaɪz/ | v | to identify something, or to show appreciation for someone's work | nhận ra; ghi nhận công lao | Hai nghĩa: (1) nhận diện — recognize the pattern; (2) ghi nhận — recognize the team's effort. | Recognising the team publicly reinforces the behaviour you want.
vocab-unilaterally | vocabulary | unilaterally, unilateral | /ˌjuːnɪˈlætərəli/ | adv | decided by one party alone, without consulting the others | đơn phương | TỪ CẢNH BÁO: "the manager unilaterally decided…" hầu như luôn mô tả hành vi SAI trong tình huống Agile. | The manager unilaterally changed the sprint scope without telling the team.
vocab-scale | vocabulary | scale, scales, scaled, scaling, scalability | /skeɪl/ | v | to apply an approach to a much larger size or number | mở rộng quy mô | "Scaling agile" = áp dụng cho nhiều nhóm cùng một sản phẩm (SAFe, LeSS, Nexus). Cảnh báo: đừng scale trước khi một nhóm chạy tốt. | Do not scale a process that does not yet work for a single team.
vocab-trade-off | vocabulary | trade-off, trade-offs, tradeoff, tradeoffs | /ˈtreɪd ɔːf/ | n | a compromise where you accept less of one thing to get more of another | sự đánh đổi | Bản chất của mọi quyết định ưu tiên: nhận cái này thì phải bớt cái kia. Đề rất thích các câu hỏi dạng trade-off. | Every prioritisation decision is a trade-off between value and effort.
vocab-contradict | vocabulary | contradict, contradicts, contradicted, contradicting, contradictory | /ˌkɑːntrəˈdɪkt/ | v | to state the opposite of something, or to be inconsistent with it | mâu thuẫn với, trái ngược | Hay gặp: "contradictory priorities from two stakeholders" — hai bên đưa ra ưu tiên trái ngược nhau. | Two stakeholders gave the team contradictory priorities.
vocab-shield | vocabulary | shield, shields, shielded, shielding | /ʃiːld/ | v | to protect someone from something harmful or distracting | che chắn, bảo vệ | Vai trò kinh điển của Scrum Master: "shield the team from external interference". | The scrum master shielded the team from ad-hoc requests during the sprint.
vocab-convey | vocabulary | convey, conveys, conveyed, conveying | /kənˈveɪ/ | v | to communicate information or a feeling to someone | truyền đạt | Xuất hiện nguyên văn trong nguyên tắc Agile số 6: "conveying information to and within a development team". | Face-to-face conversation is the most efficient way of conveying information.
vocab-blame | vocabulary | blame, blames, blamed, blaming, blameless | /bleɪm/ | v | to say that someone is responsible for something bad | đổ lỗi, quy trách nhiệm | "Blameless retrospective/postmortem" = xem xét sự cố mà không quy tội cá nhân, tập trung vào hệ thống. | A blameless postmortem focuses on the system, not on the person.
vocab-allocate | vocabulary | allocate, allocates, allocated, allocating, allocation | /ˈæləkeɪt/ | v | to distribute resources or time for a particular purpose | phân bổ | Phân bổ người/thời gian/ngân sách. Cảnh báo: allocate một người vào nhiều dự án gây context switching. | Allocating a developer across three projects destroys their focus.
vocab-peer | vocabulary | peer, peers, peer review | /pɪr/ | n | someone at the same level as you in a group | đồng nghiệp ngang hàng | "Peer review" = đồng nghiệp cùng cấp xem xét công việc của nhau — khác review từ cấp trên xuống. | Peer review spreads knowledge as well as catching defects.
vocab-concrete | vocabulary | concrete | /ˈkɑːnkriːt/ | adj | specific and real, rather than general or abstract | cụ thể, hữu hình | Đối lập "abstract/vague". Feedback phải concrete mới hành động được: nêu ví dụ thật, không nói chung chung. | Give a concrete example rather than a general observation.
vocab-finalize | vocabulary | finalize, finalizes, finalized, finalizing, finalise | /ˈfaɪnəlaɪz/ | v | to complete something and make it final | hoàn tất, chốt lại | CẢNH BÁO: "finalize all requirements upfront" là cách làm predictive — thường là đáp án sai trong đề Agile. | Trying to finalise all requirements upfront contradicts adaptive planning.
vocab-obstacle | vocabulary | obstacle, obstacles | /ˈɑːbstəkl/ | n | something that blocks progress and must be removed | chướng ngại, trở ngại | Đồng nghĩa của impediment/blocker/roadblock — bốn từ này dùng lẫn nhau trong đề, cần nhận ra cả bốn. | Removing obstacles is the servant leader's most visible duty.
vocab-ultimately | vocabulary | ultimately, ultimate | /ˈʌltɪmətli/ | adv | in the end; as the final result | rốt cuộc, cuối cùng thì | Dẫn tới KẾT LUẬN của lập luận. Hay gặp trong giải thích: "ultimately, the product owner decides". | Ultimately, the product owner decides what goes into the release.
vocab-multitask | vocabulary | multitask, multitasking, multitasked | /ˌmʌltiˈtæskɪŋ/ | n | working on several things at once, switching between them | làm nhiều việc cùng lúc | Được coi là PHẢN NĂNG SUẤT trong Agile/Lean: mỗi lần chuyển việc mất chi phí context switching. | Multitasking feels productive but lengthens every item's cycle time.
vocab-extensive | vocabulary | extensive, extensively | /ɪkˈstensɪv/ | adj | covering a large area or amount; very thorough | rộng khắp, sâu rộng | Cảnh báo: "extensive documentation" hay "extensive upfront analysis" thường là dấu hiệu của đáp án predictive sai. | Extensive upfront documentation rarely survives the first real feedback.
vocab-worth | vocabulary | worth, worthwhile | /wɜːrθ/ | adj | good enough to justify the time, money or effort needed | đáng (công sức, tiền bạc) | Cách diễn đạt quyết định giá trị: "is it worth the effort?" — chính là câu hỏi ưu tiên. | The feature was not worth the effort it would have taken.
vocab-recurring | vocabulary | recurring, recur, recurs, recurred, recurrence | /rɪˈkɜːrɪŋ/ | adj | happening again and again | lặp đi lặp lại | "A recurring problem" là dấu hiệu chưa xử lý root cause — chỉ mới chữa triệu chứng. | A recurring defect signals that the root cause was never addressed.
vocab-competitive | vocabulary | competitive, competition, competitor, competitors | /kəmˈpetətɪv/ | adj | relating to trying to be more successful than others | mang tính cạnh tranh | "Competitive advantage" = lợi thế cạnh tranh — lý do kinh doanh của việc rút ngắn time to market. | Releasing earlier gives a real competitive advantage.
vocab-overtime | vocabulary | overtime | /ˈoʊvərtaɪm/ | n | hours worked beyond the normal working time | làm thêm giờ | Trái với "sustainable pace" (nguyên tắc Agile số 8). Overtime kéo dài làm giảm chất lượng và gây burnout. | Sustained overtime is a symptom of a planning problem, not a solution.
vocab-exceed | vocabulary | exceed, exceeds, exceeded, exceeding | /ɪkˈsiːd/ | v | to go beyond a limit or an expected amount | vượt quá | Hay gặp: "the WIP exceeded the limit", "demand exceeds capacity" — cả hai đều là dấu hiệu cần hành động. | Work in progress exceeded the agreed limit, so the team stopped starting new items.
vocab-agenda | vocabulary | agenda, agendas | /əˈdʒendə/ | n | the list of items to be discussed at a meeting | chương trình họp | Họp không có agenda là dạng lãng phí. Ngoài ra "a hidden agenda" nghĩa là động cơ ngầm, không nói ra. | A meeting without an agenda usually wastes everyone's time.
vocab-misunderstanding | vocabulary | misunderstanding, misunderstandings, misunderstand, misunderstood | /ˌmɪsʌndərˈstændɪŋ/ | n | a failure to understand something correctly | sự hiểu lầm | Tiền tố mis- = sai. Đối thoại trực tiếp là cách rẻ nhất để phát hiện và sửa misunderstanding. | The misunderstanding surfaced only when the team demonstrated the feature.
vocab-unlike | vocabulary | unlike | /ˌʌnˈlaɪk/ | prep | different from; in contrast to | không giống, khác với | Dấu hiệu câu SO SÁNH: "unlike Scrum, Kanban does not prescribe fixed iterations". | Unlike Scrum, Kanban does not prescribe time-boxed iterations.
vocab-expose | vocabulary | expose, exposes, exposed, exposing, exposure | /ɪkˈspoʊz/ | v | to make something hidden become visible | phơi bày, làm lộ ra | "Risk exposure" = mức rủi ro đang gánh (probability × impact). Động từ: làm lộ ra vấn đề ẩn. | Shorter iterations expose problems while they are still small.
vocab-defer | vocabulary | defer, defers, deferred, deferring, deferral | /dɪˈfɜːr/ | v | to delay a decision or action until later | trì hoãn, để lại sau | Trong Lean/Agile, "defer commitment" tới last responsible moment là hành vi ĐÚNG — chờ có thêm thông tin. | Defer the decision until the last responsible moment.
vocab-timely | vocabulary | timely | /ˈtaɪmli/ | adj | happening at the right or most useful moment | kịp thời, đúng lúc | Chữ T trong SMART cũng liên quan (time-bound). "Timely feedback" = phản hồi đủ sớm để còn hành động được. | Timely feedback is worth more than perfect feedback that arrives too late.
vocab-novice | vocabulary | novice, novices | /ˈnɑːvɪs/ | n | someone who is new to an activity and has little experience | người mới, tay mơ | Trong Shu-Ha-Ri, người novice ở giai đoạn Shu: nên TUÂN THỦ quy tắc trước khi tự biến tấu. | A novice should follow the practice as written before adapting it.
vocab-anticipate | vocabulary | anticipate, anticipates, anticipated, anticipating, anticipation | /ænˈtɪsɪpeɪt/ | v | to expect something and prepare for it in advance | lường trước, dự liệu | Gắn với tư duy proactive: anticipate risk và chuẩn bị response trước khi rủi ro xảy ra. | Anticipating the dependency would have avoided the delay entirely.
vocab-alternative | vocabulary | alternative, alternatives, alternatively | /ɔːlˈtɜːrnətɪv/ | n | another option that could be chosen instead | phương án thay thế | Hành động đúng khi bế tắc: đưa ra alternatives rồi cùng đánh giá, thay vì nhận hoặc từ chối ngay. | Present alternatives to the stakeholder instead of a flat refusal.
vocab-pressure | vocabulary | pressure, pressures, pressured, pressuring | /ˈpreʃər/ | n | strong influence or urgency forcing someone to act | áp lực | Tình huống kinh điển: "under pressure to deliver, the team skips testing" — người học phải nhận ra đó là sai lầm. | Under schedule pressure, teams are tempted to cut the very practices that protect them.
vocab-interpersonal | vocabulary | interpersonal | /ˌɪntərˈpɜːrsənl/ | adj | relating to relationships and communication between people | (thuộc) quan hệ giữa người với người | "Interpersonal skills" = kỹ năng mềm trong tương tác: lắng nghe, đàm phán, xử lý xung đột. | Conflict resolution is an interpersonal skill, not a process step.
vocab-dictate | vocabulary | dictate, dictates, dictated, dictating | /ˈdɪkteɪt/ | v | to impose a decision on others without discussion | áp đặt, ra lệnh | TỪ CẢNH BÁO: đáp án có "the scrum master dictates…" gần như luôn sai — trái hoàn toàn với servant leadership. | Dictating the solution removes the team's ownership of it.
vocab-usability | vocabulary | usability, usable, unusable | /ˌjuːzəˈbɪləti/ | n | how easy and pleasant a product is to use | tính dễ dùng | Một non-functional requirement quan trọng, kiểm chứng bằng usability testing với người dùng thật. | Usability testing with five real users revealed the confusing step.
vocab-isolate | vocabulary | isolate, isolates, isolated, isolating, isolation, silo, silos | /ˈaɪsəleɪt/ | v | to separate something from the rest | tách biệt, cô lập | "Working in isolation/silos" là phản mẫu: nhóm hoặc cá nhân làm tách rời, tạo handoff và chậm trễ. | Testers working in isolation from developers create a handoff queue.
vocab-survey | vocabulary | survey, surveys, surveyed | /ˈsɜːrveɪ/ | n | a set of questions used to collect opinions from many people | khảo sát | Cách thu phản hồi ở quy mô lớn, ví dụ đo Net Promoter Score hay team health. | A short team-health survey each sprint reveals trends early.
vocab-kpi | vocabulary | kpi, kpis, key performance indicator | /ˌkeɪ piː ˈaɪ/ | n | a measure chosen to show whether a key objective is being met | chỉ số hiệu suất then chốt | Cảnh báo: KPI đặt sai sẽ tạo hành vi sai. Đo velocity như KPI là ví dụ kinh điển của việc đo sai thứ. | Choosing the wrong KPI drives exactly the wrong behaviour.
vocab-whiteboard | vocabulary | whiteboard, whiteboards | /ˈwaɪtbɔːrd/ | n | a large white surface for writing on during discussions | bảng trắng | Công cụ "low-tech, high-touch" mà Agile ưa thích hơn phần mềm phức tạp vì khuyến khích trao đổi trực tiếp. | A physical whiteboard invites conversation in a way a tool rarely does.
vocab-buy-in | vocabulary | buy-in, buyin | /ˈbaɪ ɪn/ | n | genuine agreement and support for a decision | sự đồng thuận, ủng hộ thật sự | Mạnh hơn "approval" (phê duyệt hình thức): buy-in là người ta THẬT SỰ ủng hộ và sẽ hành động theo. | Involving stakeholders early is the cheapest way to get their buy-in.
vocab-low-tech-high-touch | vocabulary | low-tech, high-touch, low tech high touch | /ˌloʊ ˈtek ˌhaɪ ˈtʌtʃ/ | adj | using simple physical tools that maximise human interaction | công cụ đơn giản, giàu tương tác | Nguyên tắc thiết kế không gian làm việc Agile: thẻ giấy và bảng trắng thắng phần mềm phức tạp vì kéo người ta nói chuyện với nhau. | Low-tech, high-touch tools keep the conversation at the centre.
vocab-mature | vocabulary | mature, matures, matured, maturity | /məˈtʃʊr/ | adj | fully developed through experience | trưởng thành, chín muồi | "Team maturity" quyết định phong cách lãnh đạo phù hợp — chính là ý tưởng của situational leadership. | A mature team needs delegation, not direction.
vocab-overcome | vocabulary | overcome, overcomes, overcame, overcoming | /ˌoʊvərˈkʌm/ | v | to successfully deal with a difficulty | vượt qua, khắc phục | Quá khứ bất quy tắc: overcame / overcome. Hay gặp: "overcome resistance to change". | The coach helped the team overcome its resistance to pairing.
vocab-roughly | vocabulary | roughly, rough | /ˈrʌfli/ | adv | approximately; not exactly | khoảng chừng, xấp xỉ | Ngôn ngữ của ước lượng Agile: "roughly right is better than precisely wrong". | A rough estimate now is more useful than a precise one next month.
vocab-phase | vocabulary | phase, phases, phased | /feɪz/ | n | a distinct stage in a process | giai đoạn, pha | Predictive chia dự án thành các phase tuần tự; Agile lặp lại mọi hoạt động trong mỗi iteration thay vì tách phase. | In a phased approach, testing is a separate stage at the end.
vocab-costly | vocabulary | costly | /ˈkɔːstli/ | adj | expensive, especially in a damaging way | tốn kém, đắt giá | Nguyên tắc chi phí thay đổi: lỗi phát hiện càng muộn thì càng costly để sửa. | Defects found in production are far more costly than those found in review.
vocab-outright | vocabulary | outright, outrightly | /ˈaʊtraɪt/ | adv | completely and directly, without any qualification | thẳng thừng, dứt khoát | "Reject the request outright" = từ chối thẳng — thường là đáp án SAI vì thiếu đối thoại và thương lượng. | Rejecting the request outright damages the relationship with the stakeholder.
vocab-simplicity | vocabulary | simplicity, simple, simplify, simplifies, simplified | /sɪmˈplɪsəti/ | n | the quality of being uncomplicated | sự đơn giản | Nguyên tắc Agile số 10 nguyên văn: "simplicity — the art of maximizing the amount of work not done — is essential". | Simplicity means maximising the amount of work not done.
vocab-merge | vocabulary | merge, merges, merged, merging | /mɜːrdʒ/ | v | to combine separate versions of code into one | gộp, hợp nhất (mã nguồn) | Gộp muộn tạo "merge hell" — xung đột lớn khó gỡ. Đó chính là lý do phải continuous integration. | Merging once a week creates conflicts that take days to resolve.
vocab-actionable | vocabulary | actionable | /ˈækʃənəbl/ | adj | specific enough that someone can actually act on it | có thể hành động được | Tiêu chuẩn của một action item tốt sau retrospective: cụ thể, có người phụ trách, làm được ngay sprint sau. | Turn each retrospective outcome into one actionable improvement.
vocab-reassess | vocabulary | reassess, reassesses, reassessed, reassessing, re-estimate, re-estimated | /ˌriːəˈses/ | v | to evaluate something again in the light of new information | đánh giá lại | Hành vi đúng của Agile: ước lượng và ưu tiên được reassess liên tục, không cố định một lần. | Re-estimate the remaining items once the spike has answered the question.
vocab-concise | vocabulary | concise, concisely | /kənˈsaɪs/ | adj | expressing a lot in few words | ngắn gọn, súc tích | Tiêu chuẩn giao tiếp với lãnh đạo cấp cao: concise và high-level, không đi vào chi tiết kỹ thuật. | Executives need a concise summary, not the full defect log.
vocab-initiate | vocabulary | initiate, initiates, initiated, initiating, initiative, initiatives | /ɪˈnɪʃieɪt/ | v | to start a process or take the first step | khởi xướng, bắt đầu | Danh từ "initiative" có hai nghĩa: một sáng kiến/chương trình, hoặc tính chủ động của một người. | The team took the initiative to fix the flaky test without being asked.
vocab-enforce | vocabulary | enforce, enforces, enforced, enforcing | /ɪnˈfɔːrs/ | v | to make sure a rule is obeyed, using authority | cưỡng chế, ép tuân thủ | Sắc thái tiêu cực trong đề: "enforce the process" trái với tinh thần để nhóm tự thỏa thuận (working agreement). | Enforcing a rule the team never agreed to produces compliance, not commitment.
vocab-unexpected | vocabulary | unexpected, unexpectedly | /ˌʌnɪkˈspektɪd/ | adj | not planned or foreseen | bất ngờ, ngoài dự kiến | Mở đầu tình huống rất phổ biến: "an unexpected production issue arises mid-sprint". | An unexpected outage consumed half of the team's sprint capacity.
vocab-end-user | vocabulary | end-user, end user, end-users, end users | /ˌend ˈjuːzər/ | n | the person who actually uses the product | người dùng cuối | Không nhất thiết là người TRẢ TIỀN. Phân biệt: customer (mua) vs end-user (dùng) — hai nhóm có nhu cầu khác nhau. | The customer pays for the system, but the end-user has to live with it.
vocab-sophisticated | vocabulary | sophisticated | /səˈfɪstɪkeɪtɪd/ | adj | complex and advanced | tinh vi, phức tạp cao cấp | Cảnh báo: công cụ "sophisticated" thường không phải đáp án đúng — Agile ưu tiên low-tech, high-touch. | A sophisticated tool rarely fixes a communication problem.
vocab-glance | vocabulary | glance, at a glance | /ɡlæns/ | n | a quick look | cái nhìn thoáng qua | Cụm "at a glance" là tiêu chí của information radiator: nhìn LƯỚT QUA là hiểu ngay tình hình. | A good information radiator shows the status at a glance.
vocab-gauge | vocabulary | gauge, gauges, gauged, gauging | /ɡeɪdʒ/ | v | to judge or measure something approximately | ước lượng, đo mức độ | Phát âm bất ngờ: /ɡeɪdʒ/ chứ không phải "gao-ge". Hay gặp: "gauge the team's confidence" bằng fist of five. | Use a fist of five to gauge the team's confidence in the plan.
vocab-courage | vocabulary | courage, courageous | /ˈkɜːrɪdʒ/ | n | the willingness to do the right thing despite fear | sự can đảm | Một trong năm giá trị Scrum: commitment, focus, openness, respect, courage. Con số và danh sách này hay bị hỏi. | Courage is one of the five Scrum values.
vocab-overhead | vocabulary | overhead, overheads | /ˈoʊvərhed/ | n | effort spent on supporting activities rather than on the work itself | chi phí phụ trợ, hao phí quản lý | Quy trình nặng tạo overhead. Agile tối thiểu hóa overhead để dành công sức cho việc tạo giá trị. | Too many status reports create overhead without creating value.
vocab-oppose | vocabulary | oppose, opposes, opposed, opposing, opposition, as opposed to | /əˈpoʊz/ | v | to disagree with and try to prevent something | phản đối | Cụm "as opposed to" = "chứ không phải" — dấu hiệu đề đang đối chiếu hai khái niệm. | Value delivery, as opposed to task completion, is what matters.
vocab-decline | vocabulary | decline, declines, declined, declining | /dɪˈklaɪn/ | v | to decrease gradually; or to politely refuse | giảm sút; từ chối lịch sự | Hai nghĩa hay gặp: (1) giảm — declining velocity; (2) từ chối — decline the request. Ngữ cảnh quyết định. | A declining velocity over three sprints deserves investigation.
vocab-rank | vocabulary | rank, ranks, ranked, ranking | /ræŋk/ | v | to place items in order of importance | xếp hạng | Product backlog phải được RANK (xếp thứ tự tuyệt đối), không chỉ gắn nhãn ưu tiên cao/thấp. | The backlog is ranked, so there is always a single next item.
vocab-uncertain | vocabulary | uncertain, uncertainty, uncertainties | /ʌnˈsɜːrtn/ | adj | not known or not able to be predicted | không chắc chắn, bất định | Lý do tồn tại của Agile: uncertainty cao thì kế hoạch dài hạn chi tiết là vô nghĩa. Xem cone of uncertainty. | The higher the uncertainty, the shorter the planning horizon should be.
vocab-norm | vocabulary | norm, norms, norming | /nɔːrm/ | n | an accepted standard of behaviour within a group | chuẩn mực, quy ước nhóm | Giai đoạn "norming" trong mô hình Tuckman: nhóm đã thống nhất được cách làm việc chung. | In the norming stage, the team settles into shared working norms.
vocab-stem-from | vocabulary | stem from, stems from, stemmed from | /stem frʌm/ | phr | to be caused by; to originate in | bắt nguồn từ | Cụm chỉ nguyên nhân gốc, hay xuất hiện trong phần giải thích đáp án. | The delay stemmed from an unclear definition of done.
vocab-interdependency | vocabulary | interdependency, interdependencies, interdependent | /ˌɪntərdɪˈpendənsi/ | n | a relationship where two things each depend on the other | sự phụ thuộc lẫn nhau | Ở quy mô nhiều nhóm, quản lý interdependency là bài toán chính — đó là lý do có scrum of scrums. | Scrum of scrums exists to manage interdependencies between teams.
vocab-regulatory | vocabulary | regulatory, regulation, regulations, regulator | /ˈreɡjələtɔːri/ | adj | required by an official rule or law | thuộc quy định pháp lý | Ràng buộc regulatory là lý do chính đáng để dùng hybrid approach: phần bắt buộc làm predictive, phần còn lại làm adaptive. | Regulatory constraints often justify a hybrid life cycle.
vocab-criticality | vocabulary | criticality, critical | /ˌkrɪtɪˈkæləti/ | n | how severe the consequences of failure would be | mức độ trọng yếu | Trong Crystal, criticality (comfort → life) cùng với quy mô nhóm quyết định mức độ nghi thức cần có. | Higher criticality justifies more ceremony and more verification.
vocab-elevator-statement | vocabulary | elevator statement, elevator pitch | /ˈelɪveɪtər ˈsteɪtmənt/ | n | a very short summary of what a product is and who it serves | tuyên bố thang máy (giới thiệu siêu ngắn) | Bài tập kinh điển để làm rõ product vision: nói hết giá trị sản phẩm trong thời gian đi thang máy. | The elevator statement forces the team to name the target user and the key benefit.
vocab-policy | vocabulary | policy, policies | /ˈpɑːləsi/ | n | an official rule about how things must be done | chính sách, quy định | Trụ cột Kanban số 3: "make process policies explicit" — viết rõ luật của mỗi cột, ai cũng thấy được. | Make the pull policy for each column explicit on the board.
vocab-brief | vocabulary | brief, briefly, briefing | /briːf/ | adj | short in duration or length | ngắn gọn | "A brief daily meeting" — chính là timebox 15 phút của standup. | The standup is a brief, focused meeting, not a status report.
vocab-merely | vocabulary | merely | /ˈmɪrli/ | adv | only; and nothing more | chỉ là, đơn thuần chỉ | Từ giới hạn mang sắc thái hạ thấp: "merely a status meeting" = chỉ còn là cuộc họp báo cáo, đã mất giá trị thật. | The standup had become merely a status meeting for the manager.
vocab-stuck | vocabulary | stuck, get stuck, gets stuck | /stʌk/ | adj | unable to make any further progress | mắc kẹt, bế tắc | Ngôn ngữ đời thường cho blocked. "A team member is stuck" là tín hiệu cần swarming hoặc pairing. | When a member gets stuck, the team swarms rather than waits.
vocab-team-building | vocabulary | team-building, team building | /ˈtiːm bɪldɪŋ/ | n | activities designed to strengthen relationships within a team | hoạt động gắn kết nhóm | Giúp nhóm đi qua giai đoạn storming của Tuckman nhanh hơn, xây dựng trust. | Team-building helps a new team move through storming faster.
vocab-two-way | vocabulary | two-way, two way | /ˌtuː ˈweɪ/ | adj | involving communication in both directions | hai chiều | Tiêu chuẩn giao tiếp Agile: two-way conversation (đối thoại) thay vì one-way report (báo cáo một chiều). | A demo is a two-way conversation, not a one-way presentation.
