# Thẻ BỔ SUNG cho người học A1 — nhóm tần suất CAO NHẤT (xuất hiện >= 60 câu) còn thiếu thẻ.
# Chọn từ data/candidates-a1.txt: mốc lọc chỉ còn ~350 từ lõi A1, nên những từ như "customer",
# "avoid", "require", "situation" — người A1 thật sự chưa biết — nay đều được soạn thẻ.
# Định dạng: id | category | surfaceForms | ipa | pos | senseEn | translationVi | definitionVi | exampleEn

vocab-member | vocabulary | member, members, member's, members' | /ˈmembər/ | n | a person belonging to a group | thành viên | "Team member" = thành viên nhóm — cụm xuất hiện nhiều nhất trong toàn bộ đề thi. | Every team member shares responsibility for quality.
vocab-therefore | exam-phrase | therefore, thus, consequently | /ˈðerfɔːr/ | adv | for that reason | do đó, vì vậy | Dẫn tới KẾT LUẬN của lập luận — câu sau "therefore" thường chính là ý mà đề muốn bạn chọn. | The stories were too large; therefore the sprint failed.
vocab-notice | vocabulary | notice, notices, noticed, noticing, noticeable | /ˈnoʊtɪs/ | v | to become aware of something | nhận thấy, để ý | Mở đầu tình huống rất phổ biến: "the scrum master notices that…" — báo hiệu có vấn đề cần bạn nhận diện. | The scrum master noticed that one member never spoke.
vocab-seem | vocabulary | seem, seems, seemed, seeming, seemingly | /siːm/ | v | to appear to be | có vẻ như | Sắc thái KHÔNG chắc chắn: "the team seems disengaged" = có vẻ mất gắn kết — dấu hiệu cần tìm hiểu thêm, chưa phải kết luận. | The team seems reluctant to raise problems.
vocab-feel | vocabulary | feel, feels, felt, feeling, feelings | /fiːl/ | v | to experience an emotion or impression | cảm thấy | Quá khứ bất quy tắc: felt. Cảm xúc nhóm là dữ liệu thật trong retrospective, không phải chuyện phụ. | Several members felt the deadline was unrealistic.
vocab-state | vocabulary | state, states, stated, stating | /steɪt/ | v | to say something clearly and formally | nêu rõ, phát biểu | "As stated above" = như đã nêu ở trên. Danh từ "state" cũng nghĩa là trạng thái. | As stated in the working agreement, meetings start on time.
vocab-email | vocabulary | email, emails, emailed, emailing | /ˈiːmeɪl/ | n | an electronic message | thư điện tử | CẢNH BÁO: chọn email để xử lý xung đột hay việc gấp thường là đáp án SAI — Agile ưu tiên nói chuyện trực tiếp. | Resolving conflict by email is far less effective than talking.
vocab-against | exam-phrase | against | /əˈɡenst/ | prep | in opposition to; compared with | chống lại; so với | Nghĩa "SO VỚI" rất hay gặp và dễ bỏ sót: "progress against the plan" = tiến độ so với kế hoạch. | Track progress against the sprint goal.
vocab-miss | vocabulary | miss, misses, missed, missing | /mɪs/ | v | to fail to do or catch something; to be absent | bỏ lỡ; thiếu | "Missing requirements" = yêu cầu bị thiếu; "miss the deadline" = trễ hạn. | A missing acceptance criterion caused the rework.
vocab-receive | vocabulary | receive, receives, received, receiving | /rɪˈsiːv/ | v | to get something that is given or sent | nhận được | Cặp với "provide/give": nhóm receive feedback từ stakeholder ở sprint review. | The team received valuable feedback during the demo.
vocab-matter | vocabulary | matter, matters, mattered | /ˈmætər/ | v | to be important; a subject to deal with | quan trọng; vấn đề | Cụm "what matters most" = điều quan trọng nhất. Danh từ: "raise the matter with the PO". | What matters is the value delivered, not the hours worked.
vocab-main | vocabulary | main, mainly | /meɪn/ | adj | most important; chief | chính, chủ yếu | Đồng nghĩa primary. "The main purpose/benefit/reason" — chỉ chọn MỘT đáp án. | What is the main purpose of the sprint review?
vocab-type | vocabulary | type, types | /taɪp/ | n | a category of things sharing features | loại, kiểu | "What type of…" hỏi phân loại. Ví dụ: loại life cycle, loại hợp đồng, loại lãng phí. | Which type of life cycle fits high uncertainty?
vocab-agree | vocabulary | agree, agrees, agreed, agreeing, agreement, agreements | /əˈɡriː/ | v | to have the same opinion; to say yes | đồng ý, thống nhất | Gốc của "working agreement" — thoả thuận do nhóm TỰ đặt ra, nên nhóm mới tự nguyện tuân theo. | The team agreed on how it would work together.
vocab-usually | exam-phrase | usually, usual, unusual | /ˈjuːʒuəli/ | adv | in most cases | thường thì | Chỉ điều PHỔ BIẾN chứ không tuyệt đối — cùng nhóm với typically, generally, normally. | A sprint usually lasts two weeks.
vocab-final | vocabulary | final, finally | /ˈfaɪnl/ | adj | last; coming at the end | cuối cùng | "The final decision rests with…" = quyết định cuối thuộc về ai — dạng câu hỏi về thẩm quyền. | The final decision on scope rests with the product owner.
vocab-budget | vocabulary | budget, budgets, budgeted | /ˈbʌdʒɪt/ | n | the money available for something | ngân sách | Một trong ba ràng buộc cổ điển: scope, time, cost/budget. Agile cố định time và cost, để scope linh hoạt. | With a fixed budget, scope must be the flexible variable.
vocab-highest | exam-phrase | highest, lowest, higher, lower | /ˈhaɪɪst/ | adj | greatest in amount or rank | cao nhất, thấp nhất | Dạng so sánh NHẤT — chỉ có một đáp án. "The highest-value item" luôn nằm trên đỉnh backlog. | Our highest priority is to satisfy the customer.
vocab-market | vocabulary | market, markets, time to market | /ˈmɑːrkɪt/ | n | the group of people who might buy the product | thị trường | "Time to market" = thời gian đưa sản phẩm ra thị trường — lý do kinh doanh chính để giao hàng sớm và thường xuyên. | Shorter time to market is a real competitive advantage.
vocab-above | exam-phrase | above, below, all of the above, none of the above | /əˈbʌv/ | prep | higher than; earlier in the text | ở trên; phía trên | "All of the above" (tất cả các ý trên) và "none of the above" (không ý nào) là hai đáp án đặc biệt, phải kiểm tra TỪNG ý trước khi chọn. | All of the above are responsibilities of the product owner.
vocab-toward | exam-phrase | toward, towards | /təˈwɔːrd/ | prep | in the direction of | về phía, hướng tới | "Progress toward the sprint goal" = tiến độ hướng tới mục tiêu sprint — chính là câu hỏi của daily standup. | What progress did we make toward the sprint goal?
vocab-difficult | vocabulary | difficult, difficulty, difficulties | /ˈdɪfɪkəlt/ | adj | not easy | khó khăn | "Difficult conversation" = cuộc nói chuyện khó (về hiệu suất, xung đột) — kỹ năng lãnh đạo quan trọng, không được né tránh. | Have the difficult conversation early and in private.
vocab-fit | vocabulary | fit, fits, fitted, fitting | /fɪt/ | v | to be the right size or suitable | vừa, phù hợp | "Fit into a sprint" = làm gọn trong một sprint — tiêu chí để biết story đã đủ nhỏ chưa. | Split the story until it fits into one sprint.
vocab-major | vocabulary | major | /ˈmeɪdʒər/ | adj | important or large | lớn, chủ yếu | Trái nghĩa: minor. "A major change" đòi hỏi thương lượng lại, không xử lý âm thầm. | A major scope change must go back to the product owner.
vocab-gap | vocabulary | gap, gaps | /ɡæp/ | n | a space or difference where something is missing | khoảng trống, lỗ hổng | "Skill gap" = thiếu hụt kỹ năng; "gap between plan and reality" = chênh lệch giữa kế hoạch và thực tế. | The retrospective revealed a skill gap in testing.
vocab-similar | vocabulary | similar, similarly, similarity | /ˈsɪmələr/ | adj | almost the same | tương tự, giống nhau | Nền tảng của ước lượng tương đối: so story mới với story "similar" đã làm rồi. | Estimate by comparing with a similar story you already finished.
vocab-previous | vocabulary | previous, previously | /ˈpriːviəs/ | adj | coming before in time | trước đó | "The previous sprint" = sprint trước. Dữ liệu previous sprints là cơ sở để forecast. | Use the previous sprints' velocity as a forecast.
vocab-schedule | vocabulary | schedule, schedules, scheduled, scheduling | /ˈskedʒuːl/ | n | a plan of when things will happen | lịch trình, tiến độ | "Behind schedule" (trễ tiến độ) và "ahead of schedule" (sớm hơn kế hoạch) là hai cụm bắt buộc nhớ. | The release is two weeks behind schedule.
vocab-although | exam-phrase | although, though, even though | /ɔːlˈðoʊ/ | conj | despite the fact that | mặc dù | ĐẢO CHIỀU ý: vế sau mới là ý chính. "Although the team finished early, quality suffered." | Although velocity rose, the defect rate rose too.
vocab-accept | vocabulary | accept, accepts, accepted, accepting, acceptance | /əkˈsept/ | v | to agree to take or approve something | chấp nhận, nghiệm thu | Hai nghĩa: (1) chấp nhận rủi ro (một trong bốn chiến lược); (2) PO nghiệm thu item đạt acceptance criteria. | The product owner accepted the item after the demo.
vocab-total | vocabulary | total, totals, totally | /ˈtoʊtl/ | adj | complete; the whole amount | tổng cộng, toàn bộ | Hay gặp khi tính điểm hoặc dung lượng: total story points, total capacity. | The total capacity dropped because of the holiday.
vocab-speed | vocabulary | speed, speeds | /spiːd/ | n | how fast something happens | tốc độ | Cảnh báo: Agile KHÔNG phải chạy nhanh hơn. Ép tăng speed thường làm giảm chất lượng và tăng rework. | Pushing for speed usually costs quality later.
vocab-behind | exam-phrase | behind, behind schedule | /bɪˈhaɪnd/ | prep | at the back of; later than planned | phía sau; trễ hơn kế hoạch | "Behind schedule" là tín hiệu mở đầu rất nhiều tình huống trong đề — đọc tiếp để tìm cách xử lý đúng. | The project is behind schedule and the sponsor is worried.
vocab-original | vocabulary | original, originally | /əˈrɪdʒənl/ | adj | existing from the beginning | ban đầu, nguyên gốc | "The original plan/estimate" — thứ mà Agile chấp nhận sẽ thay đổi. Bám cứng original plan là tư duy predictive. | Clinging to the original plan ignores what the team has learned.
vocab-relationship | vocabulary | relationship, relationships | /rɪˈleɪʃnʃɪp/ | n | the way two people or things are connected | mối quan hệ | Quan hệ với stakeholder là tài sản dài hạn — vì thế từ chối thẳng thừng một yêu cầu thường là đáp án sai. | Preserve the relationship while renegotiating the scope.
vocab-according-to | exam-phrase | according to, accordingly | /əˈkɔːrdɪŋ tuː/ | phr | as stated by; in agreement with | theo như | Trích nguồn hoặc chuẩn: "according to the Scrum Guide", "according to the working agreement". | According to the Scrum Guide, the sprint length is fixed.
vocab-outside | exam-phrase | outside, external to | /ˌaʊtˈsaɪd/ | prep | beyond the limits of | bên ngoài | "Outside the team's control" = ngoài tầm kiểm soát của nhóm — lý do chính đáng để escalate. | The delay came from outside the team's control.
vocab-easily | vocabulary | easy, easily, easier, easiest | /ˈiːzəli/ | adv | without difficulty | dễ dàng | "Easily visible" = nhìn là thấy ngay — tiêu chí của information radiator. | A good board makes the bottleneck easily visible.
vocab-card | vocabulary | card, cards | /kɑːrd/ | n | a small piece of stiff paper used to write an item on | thẻ (giấy) | Story được viết trên card. Mô hình 3C: Card (thẻ), Conversation (trao đổi), Confirmation (xác nhận). | The card is an invitation to a conversation, not a spec.
vocab-continue-adj | vocabulary | separate, separately, separated | /ˈseprət/ | adj | not joined; kept apart | tách biệt, riêng rẽ | "A separate team/process" hay là dấu hiệu của silo — thứ Agile muốn xoá bỏ. | A separate QA team creates a handoff and a queue.
vocab-average | vocabulary | average, averages, averaged | /ˈævərɪdʒ/ | n | the typical value found by adding and dividing | trung bình | Velocity thường lấy average của vài sprint gần nhất để dự báo, thay vì lấy con số một sprint. | Forecast from the average of the last five sprints.
vocab-spend | vocabulary | spend, spends, spent, spending | /spend/ | v | to use time or money | tiêu tốn, dành ra | Quá khứ bất quy tắc: spent. "Time spent" là dữ liệu, nhưng KHÔNG phải thước đo tiến độ trong Agile. | Hours spent is not a measure of progress.
vocab-depend | vocabulary | depend, depends, depended, depending | /dɪˈpend/ | v | to be affected or decided by something else | phụ thuộc vào | Luôn đi với "on". Câu trả lời "it depends" thực ra rất Agile — cách làm phải tailor theo bối cảnh. | The right approach depends on how much is unknown.
vocab-hire | vocabulary | hire, hires, hired, hiring | /ˈhaɪər/ | v | to employ someone | tuyển dụng, thuê | Thuê thêm người không giải quyết được vấn đề tiến độ ngắn hạn — người mới cần thời gian hoà nhập. | Hiring more developers will not rescue this sprint.
vocab-either | exam-phrase | either, either or, neither, neither nor | /ˈiːðər/ | conj | one or the other of two | hoặc cái này hoặc cái kia | "Either… or…" = một trong hai. "Neither… nor…" = KHÔNG cái nào — phủ định kép rất dễ đọc nhầm. | Neither extending the sprint nor cutting quality is acceptable.
vocab-element | vocabulary | element, elements | /ˈelɪmənt/ | n | one part of a whole | yếu tố, thành phần | Câu hỏi "which element of…" hỏi thành phần cấu thành, ví dụ các thành phần của một user story tốt. | Which element of the definition of done was skipped?
vocab-tester | vocabulary | tester, testers | /ˈtestər/ | n | a person who checks that the product works | người kiểm thử | Trong nhóm cross-functional, tester không phải bộ phận riêng ở cuối dây chuyền — chất lượng là việc của cả nhóm. | Quality is the whole team's job, not just the tester's.
vocab-version | vocabulary | version, versions | /ˈvɜːrʒn/ | n | one particular form of something that changes over time | phiên bản | Mỗi increment tạo ra một version dùng được của sản phẩm. | Each sprint produces a usable version of the product.
vocab-invite | vocabulary | invite, invites, invited, inviting, invitation | /ɪnˈvaɪt/ | v | to ask someone to come or take part | mời | Ai được mời dự sự kiện nào là chi tiết hay bị hỏi: stakeholder được mời dự review, không dự retrospective. | Stakeholders are invited to the review, not the retrospective.
vocab-personal | vocabulary | personal, personally | /ˈpɜːrsənl/ | adj | relating to one particular person | cá nhân, riêng tư | Vấn đề "personal" phải xử lý riêng, một-một — không nêu tên trước cả nhóm. | Handle personal issues privately, not in the retrospective.
vocab-earlier | exam-phrase | earlier, earliest | /ˈɜːrliər/ | adj | before the present time or before something else | sớm hơn, trước đó | Nguyên tắc "the earlier the cheaper": lỗi hoặc phản hồi đến càng sớm thì chi phí xử lý càng rẻ. | The earlier the feedback, the cheaper the fix.
vocab-description | vocabulary | describe, describes, described, describing, description, descriptions | /dɪˈskrɪpʃn/ | n | an account of what something is like | mô tả | Câu hỏi "which BEST describes…" hỏi mô tả sát nhất — nhiều đáp án đúng một phần, chọn cái đúng nhất. | Which statement best describes a self-organizing team?
vocab-organize | vocabulary | organize, organizes, organized, organizing, organise, organizational | /ˈɔːrɡənaɪz/ | v | to arrange or plan something | tổ chức, sắp xếp | Gốc của "self-organizing team". Tính từ "organizational" = thuộc về tổ chức: organizational culture, organizational change. | Organizational culture is the hardest thing to change.
vocab-period | vocabulary | period, periods | /ˈpɪriəd/ | n | a length of time | khoảng thời gian, giai đoạn | Sprint là một "fixed period" — độ dài cố định không đổi giữa chừng. | A sprint is a fixed period that does not get extended.
vocab-party | vocabulary | party, parties, third party | /ˈpɑːrti/ | n | a person or group involved in an agreement | bên (tham gia) | "Third party" = bên thứ ba (nhà cung cấp, đối tác) — nguồn dependency ngoài tầm kiểm soát của nhóm. | The release depended on a third party.
vocab-basic | vocabulary | basic, basics, basically | /ˈbeɪsɪk/ | adj | forming the simplest and most necessary part | cơ bản | Đồng nghĩa fundamental. "Basic principles" = các nguyên tắc nền tảng. | Go back to the basic principles before adding practices.
vocab-serve | vocabulary | serve, serves, served, serving, servant | /sɜːrv/ | v | to work for the benefit of others | phục vụ | Gốc của "servant leadership": lãnh đạo bằng cách PHỤC VỤ nhóm, đặt nhu cầu của nhóm lên trước. | A servant leader serves the team rather than commanding it.
vocab-raise | vocabulary | raise, raises, raised, raising | /reɪz/ | v | to bring something up for attention | nêu lên, đưa ra | Cụm cốt lõi: "raise an impediment/a concern" = nêu trở ngại hay lo ngại. Nêu SỚM luôn tốt hơn giấu. | Raise impediments as soon as they appear.
vocab-financial | vocabulary | financial, finance, financially | /faɪˈnænʃl/ | adj | relating to money | thuộc tài chính | Các chỉ số financial (ROI, NPV, cost of delay) dùng để quyết định ưu tiên ở tầng sản phẩm. | Financial measures like NPV help prioritise the roadmap.
vocab-proper | vocabulary | proper, properly | /ˈprɑːpər/ | adj | correct and suitable | đúng cách, thích đáng | "Properly" = đúng quy cách. "Not properly defined" = chưa được định nghĩa rõ ràng — nguyên nhân gốc rất hay gặp. | The acceptance criteria were not properly defined.
vocab-certain | exam-phrase | certain, certainly | /ˈsɜːrtn/ | adj | sure; or particular but unnamed | chắc chắn; một số nhất định | HAI nghĩa: (1) chắc chắn; (2) "certain stakeholders" = một số bên liên quan (không nói rõ ai). | Certain stakeholders wanted features the team had no capacity for.
vocab-basis | vocabulary | basis, on a regular basis | /ˈbeɪsɪs/ | n | the foundation or the frequency pattern of something | cơ sở; nhịp độ | Cụm "on a regular/daily basis" = một cách đều đặn/hàng ngày — cách nói trang trọng thay cho "regularly". | The team inspects its process on a regular basis.
vocab-attention | vocabulary | attention, attentive | /əˈtenʃn/ | n | the act of watching or thinking about something carefully | sự chú ý, quan tâm | Nguyên tắc Agile số 9: "continuous ATTENTION to technical excellence". Cũng gặp: "pay attention to". | Continuous attention to technical excellence enhances agility.
vocab-condition | vocabulary | condition, conditions, conditional | /kənˈdɪʃn/ | n | a state of affairs, or something required | điều kiện, tình trạng | Definition of Ready và Definition of Done đều là tập hợp các "conditions" phải thoả mãn. | The definition of done lists the conditions for completion.
vocab-skip | vocabulary | skip, skips, skipped, skipping | /skɪp/ | v | to leave something out | bỏ qua, cắt bớt | CẢNH BÁO: "skip the retrospective" hay "skip testing" gần như luôn là đáp án SAI trong đề. | Skipping the retrospective removes the team's only improvement loop.
vocab-incomplete | vocabulary | incomplete, completely | /ˌɪnkəmˈpliːt/ | adj | not finished | chưa hoàn thành | Item incomplete cuối sprint KHÔNG tính velocity và phải quay lại backlog để PO xếp lại ưu tiên. | Incomplete items return to the backlog for re-prioritisation.
vocab-confirm | vocabulary | confirm, confirms, confirmed, confirming, confirmation | /kənˈfɜːrm/ | v | to check that something is true or agreed | xác nhận | Chữ C thứ ba trong mô hình 3C của user story: Card, Conversation, Confirmation (acceptance criteria). | Confirmation is the acceptance criteria that prove the story works.
vocab-force | vocabulary | force, forces, forced, forcing | /fɔːrs/ | v | to make someone do something they do not want to | ép buộc | TỪ CẢNH BÁO: "force the team to commit" trái hoàn toàn với self-organization — gần như luôn là đáp án sai. | Forcing a commitment produces compliance, not ownership.
vocab-column | vocabulary | column, columns | /ˈkɑːləm/ | n | a vertical section of a board or table | cột | Mỗi column trên Kanban board là một bước của workflow, và mỗi column có thể có WIP limit riêng. | Each column on the board has its own WIP limit.
vocab-introduce | vocabulary | introduce, introduces, introduced, introducing, introduction | /ˌɪntrəˈduːs/ | v | to bring something new into use | giới thiệu, đưa vào áp dụng | Đưa practice mới nên làm từng bước và coi như experiment, không áp một lượt cho cả tổ chức. | Introduce one new practice at a time and measure the effect.
vocab-subject | vocabulary | subject, subjects, subject matter expert, sme | /ˈsʌbdʒɪkt/ | n | the topic being dealt with | chủ đề; đối tượng | "Subject matter expert (SME)" = chuyên gia lĩnh vực — người nhóm cần hỏi khi thiếu kiến thức nghiệp vụ. | Invite the subject matter expert to the refinement session.
vocab-alone | exam-phrase | alone, on its own, by itself | /əˈloʊn/ | adv | without others | một mình, tự thân | "Velocity alone means nothing" = chỉ riêng velocity thì không nói lên điều gì — dạng lập luận rất hay gặp. | Velocity alone tells you nothing about value.
vocab-match | vocabulary | match, matches, matched, matching | /mætʃ/ | v | to be equal or suitable to something else | khớp, tương ứng | "Match capacity to demand" = cân nhu cầu với năng lực — nguyên tắc để dòng chảy không bị nghẽn. | Match the work taken in to the team's real capacity.
vocab-speak | vocabulary | speak, speaks, spoke, spoken, speaking | /spiːk/ | v | to say things; to talk | nói, phát biểu | Quá khứ bất quy tắc: spoke/spoken. "Speak up" = lên tiếng — chỉ xảy ra khi có psychological safety. | People only speak up when they feel safe.
vocab-suitable | vocabulary | suitable, suitability, unsuitable | /ˈsuːtəbl/ | adj | right for a particular purpose | phù hợp, thích hợp | Đồng nghĩa appropriate. "Most suitable approach" = cách tiếp cận phù hợp nhất với tình huống đã cho. | Which approach is most suitable for a high-uncertainty project?
vocab-full | vocabulary | full, fully | /fʊl/ | adj | containing as much as possible | đầy, toàn bộ | "Full capacity" nghe tích cực nhưng lại xấu trong Lean: chạy hết công suất làm hàng đợi dài và mất khả năng ứng phó. | Running at full capacity leaves no room to absorb surprises.
vocab-piece | vocabulary | piece, pieces | /piːs/ | n | a part of something larger | mảnh, phần | "Small pieces" là nguyên tắc chia nhỏ: mảnh nhỏ thì dễ ước lượng, dễ xong, phản hồi nhanh. | Break the work into the smallest valuable pieces.
vocab-location | vocabulary | location, locations, located, locate | /loʊˈkeɪʃn/ | n | a place where someone or something is | địa điểm, vị trí | Nhóm ở nhiều location = distributed team, mất osmotic communication, cần bù bằng công cụ và nghi thức. | Team members in different locations lose informal communication.
vocab-professional | vocabulary | professional, professionally, professionalism | /prəˈfeʃənl/ | adj | relating to skilled paid work; behaving properly at work | chuyên nghiệp | Trong domain đạo đức nghề nghiệp: hành xử professional nghĩa là trung thực, minh bạch, không che giấu vấn đề. | Professional behaviour means reporting bad news early.
vocab-sense | vocabulary | sense, senses, sensing, make sense | /sens/ | n | understanding; a feeling about something | cảm nhận, ý nghĩa | Cụm "make sense" = hợp lý, có lý. Trong Cynefin: "sense" là một bước của chu trình probe–sense–respond. | In a complex domain we probe, sense and respond.
vocab-structure | vocabulary | structure, structures, structured, structural | /ˈstrʌktʃər/ | n | the way parts are arranged or organised | cấu trúc | "Organisational structure" quyết định dependency giữa các nhóm — nguồn gốc của nhiều trở ngại kéo dài. | The organisational structure created most of the dependencies.
vocab-contact | vocabulary | contact, contacts, contacted, contacting | /ˈkɑːntækt/ | v | to get in touch with someone | liên hệ | Trong tình huống, "contact the stakeholder directly" thường là hành động đúng thay vì chờ đợi thụ động. | Contact the stakeholder directly instead of waiting.
vocab-acceptable | vocabulary | acceptable, unacceptable, acceptably | /əkˈseptəbl/ | adj | good enough to be agreed to | chấp nhận được | "Acceptable quality" phải được định nghĩa TRƯỚC trong Definition of Done, không tranh cãi sau. | Define what quality is acceptable before the work starts.
vocab-collect | vocabulary | collect, collects, collected, collecting, collection | /kəˈlekt/ | v | to gather things together | thu thập | Gần nghĩa gather. "Collect data/feedback" — bước đầu của mọi quyết định dựa trên bằng chứng. | Collect data for several sprints before drawing conclusions.
vocab-compare | vocabulary | compare, compares, compared, comparing, comparison | /kəmˈper/ | v | to look at how two things are alike or different | so sánh | CẢNH BÁO: so sánh velocity GIỮA các nhóm là sai lầm kinh điển — mỗi nhóm có thang điểm riêng. | Never compare velocity between two different teams.
vocab-effect | vocabulary | effect, effects | /ɪˈfekt/ | n | a change caused by something | hiệu ứng, tác động | BẪY CHÍNH TẢ: effect là DANH TỪ, affect là ĐỘNG TỪ. "The effect ON something". | The change had an unexpected effect on the flow.
vocab-category | vocabulary | category, categories, categorise, categorize | /ˈkætəɡɔːri/ | n | a group of things with shared characteristics | hạng mục, nhóm phân loại | Fishbone diagram xếp nguyên nhân theo các category; affinity diagram gom ý tưởng thành các nhóm. | Sort the causes into categories on the fishbone diagram.
vocab-material | vocabulary | material, materials | /məˈtɪriəl/ | n | the physical things or information used for something | vật liệu; tài liệu | Trong bối cảnh đào tạo: "training material" = tài liệu đào tạo. | The coach prepared training material for the new practice.
vocab-physical | vocabulary | physical, physically | /ˈfɪzɪkl/ | adj | existing as a real object you can touch | vật lý, hữu hình | "Physical board" (bảng thật) được ưa hơn công cụ số trong triết lý low-tech, high-touch. | A physical board pulls people into conversation.
vocab-though | exam-phrase | as though | /ðoʊ/ | conj | despite the fact that | như thể, dường như | KHÁC "though/although" (mặc dù). "As though" (= "as if") dùng để so sánh giả định — mô tả điều gì đó DƯỜNG NHƯ đúng, không phải nhượng bộ một sự thật. | The board looked as though nothing had moved in three days.
vocab-security | vocabulary | security, secure, securely | /sɪˈkjʊrəti/ | n | protection against danger or unauthorised access | bảo mật, an ninh | Một non-functional requirement điển hình, thường phải nằm trong Definition of Done chứ không kiểm ở cuối. | Add the security check to the definition of done.
vocab-function | vocabulary | function, functions, functional, functionality | /ˈfʌŋkʃn/ | n | the purpose or action something performs | chức năng | Phân biệt: functional requirement (sản phẩm LÀM GÌ) vs non-functional requirement (làm TỐT ĐẾN ĐÂU). | Speed and security are non-functional requirements.
vocab-record | vocabulary | record, records, recorded, recording | /rɪˈkɔːrd/ | v | to write something down so it is kept | ghi lại, lưu lại | Danh từ /ˈrekərd/, động từ /rɪˈkɔːrd/ — trọng âm khác nhau. Risk register là nơi record rủi ro. | Record the action items where the team will see them.
vocab-save | vocabulary | save, saves, saved, saving, savings | /seɪv/ | v | to keep something for later; to avoid spending | tiết kiệm, để dành | "Save time/cost" — nhưng cẩn thận: tiết kiệm bằng cách bỏ kiểm thử là tiết kiệm giả. | Skipping the review saves an hour and costs a week.
vocab-produce | vocabulary | produce, produces, produced, producing | /prəˈduːs/ | v | to make or create something | tạo ra, sản xuất | Mỗi sprint phải produce một increment dùng được, không phải chỉ produce tài liệu. | Every sprint must produce a usable increment.
vocab-exercise | vocabulary | exercise, exercises | /ˈeksərsaɪz/ | n | an activity done to practise or achieve something | bài tập, hoạt động thực hành | "A planning exercise", "a team-building exercise" — hoạt động có mục đích cụ thể. | The estimation exercise surfaced hidden assumptions.
vocab-helpful | vocabulary | helpful | /ˈhelpfl/ | adj | giving useful help | hữu ích, có ích | Nhẹ hơn "beneficial". Câu hỏi "which would be most helpful?" hỏi cách hỗ trợ tốt nhất cho tình huống. | Which action would be most helpful for the new member?
vocab-protect | vocabulary | protect, protects, protected, protecting, protection | /prəˈtekt/ | v | to keep someone or something safe from harm | bảo vệ | Vai trò của Scrum Master: protect the team khỏi can thiệp bên ngoài và khỏi việc bị nhồi thêm việc giữa sprint. | Protect the team from mid-sprint interruptions.
vocab-fewer | exam-phrase | fewer | /ˈfjuːər/ | adj | a smaller number of | ít hơn | NGỮ PHÁP: "fewer" dùng cho đếm được (fewer defects), "less" cho không đếm được (less time). Không gồm "less" trong thẻ này để tránh nhầm với LeSS (Large-Scale Scrum). | Fewer items in progress means shorter cycle time.
vocab-least | exam-phrase | least, at least | /liːst/ | adv | the smallest amount or lowest degree (superlative of "little"/"few") | ít nhất | "At least" = tối thiểu, mức sàn (at least 10 iterations = không dưới 10). Khác "fewer/less" (so sánh hơn, dùng để so sánh giữa hai đối tượng). | The team estimates at least 10 more iterations are needed.
vocab-half | vocabulary | half, halves | /hæf/ | n | one of two equal parts | một nửa | Hay gặp trong tình huống: "halfway through the sprint" = giữa sprint — thời điểm phát sinh thay đổi. | Halfway through the sprint, a new request arrived.
vocab-prepare | vocabulary | prepare, prepares, prepared, preparing, preparation | /prɪˈper/ | v | to get something ready | chuẩn bị | Backlog refinement chính là việc prepare item cho sprint tới — làm liên tục, không dồn vào sát giờ. | Refinement prepares items so planning goes smoothly.
vocab-service | vocabulary | service, services | /ˈsɜːrvɪs/ | n | work done for customers rather than a physical product | dịch vụ | Nhiều nhóm Agile làm service (hỗ trợ, vận hành) chứ không làm sản phẩm — Kanban hợp với loại việc này hơn Scrum. | Kanban often suits service and support work better than Scrum.
vocab-talk | vocabulary | talk, talks, talked, talking | /tɔːk/ | v | to speak with someone | nói chuyện, trao đổi | Hành động đúng số một trong đề Agile: "talk to the person/team directly" thay vì gửi email hay leo cấp. | Talk to the team member directly and privately.
vocab-cancel | vocabulary | cancel, cancels, cancelled, canceling, cancellation | /ˈkænsl/ | v | to decide something will not happen | huỷ bỏ | Trong Scrum, CHỈ Product Owner có quyền huỷ một sprint, và chỉ khi sprint goal không còn ý nghĩa. | Only the product owner can cancel a sprint.
vocab-access | vocabulary | access, accesses, accessed, accessible | /ˈækses/ | n | the right or ability to use or reach something | quyền truy cập, tiếp cận | "Access to the customer" = được tiếp xúc trực tiếp với khách hàng — điều kiện then chốt để làm Agile thật. | Without access to real users, feedback is guesswork.
vocab-chance | vocabulary | chance, chances | /tʃæns/ | n | a possibility; an opportunity | khả năng; cơ hội | Gần nghĩa probability nhưng thân mật hơn: "there is a chance that…" | There is a chance the dependency will slip again.
vocab-source | vocabulary | source, sources | /sɔːrs/ | n | the place something comes from | nguồn (gốc) | "The source of the problem" = nơi vấn đề bắt nguồn — tương đương root cause. | Trace the defect back to its source.
vocab-replace | vocabulary | replace, replaces, replaced, replacing, replacement | /rɪˈpleɪs/ | v | to put something new in place of another | thay thế | Trong tình huống nhân sự: thay người giữa dự án làm mất kiến thức ngầm và kéo velocity xuống. | Replacing a member mid-project costs more than it looks.
vocab-false | vocabulary | false | /fɔːls/ | adj | not correct | sai (không đúng sự thật) | Cặp true/false. Cẩn thận dạng câu hỏi "which statement is FALSE?" — phải tìm ý SAI. | Which of the following statements is false?
