# Thẻ từ vựng BỔ SUNG — nhóm 1: động từ / danh từ / tính từ học thuật & công sở hay gặp nhất
# trong 1.684 câu (chọn từ data/candidates.txt, ngưỡng xuất hiện >= 10 câu).
# Định dạng: id | category | surfaceForms | ipa | pos | senseEn | translationVi | definitionVi | exampleEn
# surfaceForms: các dạng viết trong đề, ngăn bằng dấu phẩy — dùng để tự động khớp từ với câu hỏi.

vocab-collaboration | vocabulary | collaboration, collaborations, collaborate, collaborates, collaborated, collaborating, collaborative, collaboratively | /kəˌlæbəˈreɪʃn/ | n | the act of working jointly with others toward a shared result | sự cộng tác, sự hợp tác | Làm việc CÙNG NHAU để cùng tạo ra kết quả — khác "cooperation" (chỉ giúp đỡ, không cùng làm). Đây là từ khóa trung tâm của Agile: "customer collaboration over contract negotiation". | Close collaboration with the customer reduces the risk of building the wrong thing.
vocab-discover | vocabulary | discover, discovers, discovered, discovering, discovery | /dɪˈskʌvər/ | v | to find out something that was not known before | phát hiện, khám phá | "Product discovery" = giai đoạn tìm hiểu nên xây gì, trước khi xây (delivery). Cặp đôi: discovery vs delivery. | The team discovered the real need only after showing a prototype.
vocab-visible | vocabulary | visible, visibility | /ˈvɪzəbl/ | adj | able to be seen | nhìn thấy được, minh bạch | Nền tảng của transparency. "Make the work visible" là câu cửa miệng của Kanban; "visibility" = mức độ mọi người thấy được tình hình thật. | Making impediments visible is the first step to removing them.
vocab-traditional | vocabulary | traditional, traditionally | /trəˈdɪʃənl/ | adj | following long-established practice rather than a new approach | truyền thống | Trong đề, "traditional" = predictive/waterfall. Thấy từ này là biết đề đang đối chiếu cách làm cũ với cách làm Agile. | In traditional project management, the manager assigns the work.
vocab-continuously | vocabulary | continuously, continuous, continually | /kənˈtɪnjuəsli/ | adv | without stopping; going on all the time | liên tục, không ngừng | Từ khóa của nhiều practice: continuous integration, continuous delivery, continuous improvement. Nhấn vào KHÔNG DỪNG, không phải "nhiều lần". | The team continuously integrates its code rather than merging once a week.
vocab-fail | vocabulary | fail, fails, failed, failing, failure, failures | /feɪl/ | v | to not succeed in doing something | thất bại, hỏng | Tư duy Agile: "fail fast, fail safe" — thất bại sớm và nhỏ để học rẻ. Thấy "failing fast" trong đáp án thường là hướng đúng. | Failing fast in a spike is cheaper than failing late in production.
vocab-foster | vocabulary | foster, fosters, fostered, fostering | /ˈfɔːstər/ | v | to encourage something good to develop | nuôi dưỡng, thúc đẩy (điều tốt) | Đi với những thứ trừu tượng và tích cực: foster trust, foster collaboration, foster a learning culture. Rất hay xuất hiện ở đáp án đúng. | The leader fostered an environment where mistakes could be discussed openly.
vocab-immediately | vocabulary | immediately, immediate | /ɪˈmiːdiətli/ | adv | at once, without any delay | ngay lập tức | Từ chỉ thời điểm rất mạnh. Cẩn thận: không phải lúc nào "immediately escalate" cũng đúng — Agile ưu tiên để nhóm tự xử lý trước. | The impediment should be raised immediately, not saved for the retrospective.
vocab-trust | vocabulary | trust, trusts, trusted, trusting, trustworthy | /trʌst/ | n | belief that someone is reliable and will act in good faith | sự tin tưởng | Nền tảng của self-organization. Nguyên tắc Agile số 5: "give them the environment and support they need, and trust them to get the job done". | Micromanaging destroys the trust that self-organization depends on.
vocab-obtain | vocabulary | obtain, obtains, obtained, obtaining | /əbˈteɪn/ | v | to get something, especially by making an effort | thu được, có được | Trang trọng hơn "get" — hay gặp trong văn phong đề thi: obtain approval, obtain feedback, obtain buy-in. | The team obtained approval from the steering committee before the release.
vocab-execution | vocabulary | execution, execute, executes, executed, executing | /ˌeksɪˈkjuːʃn/ | n | the act of carrying out a plan or piece of work | sự thực thi | Cặp đối chiếu: planning (lập kế hoạch) vs execution (thực thi). Agile trộn lẫn hai giai đoạn này thay vì tách rời. | In adaptive approaches, planning and execution overlap continuously.
vocab-challenge | vocabulary | challenge, challenges, challenged, challenging | /ˈtʃælɪndʒ/ | n | a difficult situation that tests your ability | thách thức, khó khăn | Vừa là danh từ (khó khăn) vừa là động từ (chất vấn, phản biện). "Challenge the assumption" = đặt câu hỏi ngược lại giả định. | The coach challenged the team's assumption that testing must come last.
vocab-gain | vocabulary | gain, gains, gained, gaining | /ɡeɪn/ | v | to obtain or increase something valuable | đạt được, thu được | Hay đi với các danh từ trừu tượng: gain insight, gain buy-in, gain trust, gain visibility. | The demo helped the team gain buy-in from a sceptical stakeholder.
vocab-ability | vocabulary | ability, abilities | /əˈbɪləti/ | n | the power or skill to do something | khả năng, năng lực | Khác "capacity" (sức chứa, khối lượng làm được). ability = có làm được không; capacity = làm được BAO NHIÊU. | Agility is the ability to change direction quickly at low cost.
vocab-strategy | vocabulary | strategy, strategies, strategic, strategically | /ˈstrætədʒi/ | n | a long-term plan for achieving an overall aim | chiến lược | Đối lập với "tactic" (chiến thuật, ngắn hạn). Roadmap thể hiện strategy; sprint backlog thể hiện tactic. | The roadmap communicates strategy; the sprint backlog handles tactics.
vocab-internal | vocabulary | internal, internally | /ɪnˈtɜːrnl/ | adj | existing or happening inside an organisation or group | nội bộ, bên trong | Cặp đối chiếu: internal stakeholder (trong công ty) vs external stakeholder (khách hàng, nhà cung cấp, cơ quan quản lý). | Internal stakeholders and external customers may want different things.
vocab-external | vocabulary | external, externally | /ɪkˈstɜːrnl/ | adj | existing or coming from outside the organisation or group | bên ngoài | Dependency lên đội external là rủi ro lớn vì nhóm không kiểm soát được. Đề rất hay dựng tình huống này. | The team's release was blocked by an external dependency.
vocab-factor | vocabulary | factor, factors | /ˈfæktər/ | n | one of the things that influences a result | yếu tố | Hay gặp: "critical success factor" = yếu tố quyết định thành bại. Câu hỏi "which factor should be considered?" hỏi yếu tố cần cân nhắc. | Team stability is a major factor in predictable velocity.
vocab-incremental | vocabulary | incremental, incrementally | /ˌɪŋkrəˈmentl/ | adj | happening in small stages that build on each other | tăng dần theo từng phần | Cặp đôi bắt buộc phân biệt: iterative (làm đi làm lại, tinh chỉnh CÙNG một thứ) vs incremental (thêm từng phần MỚI). Agile dùng cả hai. | Incremental delivery adds a new usable slice each cycle.
vocab-clarify | vocabulary | clarify, clarifies, clarified, clarifying, clarification | /ˈklærəfaɪ/ | v | to make something easier to understand by explaining it | làm rõ | Hành động đúng khi yêu cầu mơ hồ: "clarify the acceptance criteria with the product owner" là dạng đáp án đúng rất phổ biến. | The developer asked the product owner to clarify the acceptance criteria.
vocab-insight | vocabulary | insight, insights | /ˈɪnsaɪt/ | n | a clear, deep understanding of a complex situation | hiểu biết sâu sắc | Cao hơn "information" — là cái HIỂU RA từ dữ liệu, không phải bản thân dữ liệu. Retrospective nhằm tạo ra insight. | The cumulative flow diagram gave the team insight into where work was queueing.
vocab-solely | vocabulary | solely | /ˈsoʊlli/ | adv | only; and nothing or nobody else | chỉ duy nhất, hoàn toàn chỉ | TỪ TUYỆT ĐỐI — dấu hiệu cảnh báo. Đáp án chứa "solely responsible" hay "solely based on" thường quá cực đoan và là đáp án sai. | Estimating solely on the basis of the loudest voice leads to poor forecasts.
vocab-promote | vocabulary | promote, promotes, promoted, promoting, promotion | /prəˈmoʊt/ | v | to actively support and encourage something to grow | thúc đẩy, đề cao | Nghĩa hay dùng trong đề là "đề cao/khuyến khích" (promote collaboration), không phải "thăng chức". | Pair programming promotes collective code ownership.
vocab-satisfaction | vocabulary | satisfaction, satisfied, satisfy, satisfies | /ˌsætɪsˈfækʃn/ | n | the feeling of being pleased because a need has been met | sự hài lòng | Nguyên tắc Agile số 1 mở đầu bằng "customer satisfaction". Kano model phân loại tính năng theo mức độ tác động lên satisfaction. | Our highest priority is to satisfy the customer through early and continuous delivery.
vocab-relative | vocabulary | relative, relatively | /ˈrelətɪv/ | adj | judged in comparison with something else, not in absolute terms | tương đối (so với cái khác) | Cốt lõi của ước lượng Agile: "relative sizing" — so cái này với cái kia, không đo giờ tuyệt đối. Story point là đơn vị relative. | Story points express relative size, not absolute hours.
vocab-mention | vocabulary | mention, mentions, mentioned, mentioning | /ˈmenʃn/ | v | to refer to something briefly | đề cập, nhắc tới | "As mentioned above/earlier" là cụm nối rất hay gặp trong phần giải thích đáp án. | As mentioned earlier, the impediment had already been escalated.
vocab-workshop | vocabulary | workshop, workshops | /ˈwɜːrkʃɑːp/ | n | a working session where a group produces something together | buổi làm việc nhóm, hội thảo thực hành | Khác "training" (đào tạo một chiều): workshop là cùng LÀM ra kết quả. Ví dụ: story mapping workshop, release planning workshop. | The team ran a story mapping workshop with the customer.
vocab-behavior | vocabulary | behavior, behaviors, behaviour, behaviours, behavioral | /bɪˈheɪvjər/ | n | the way a person or group acts | hành vi, cách hành xử | Nguyên tắc Agile số 12 nói nhóm "tunes and adjusts its behavior". Coaching nhắm vào behavior, không nhắm vào con người. | The retrospective focuses on behaviour, not on blaming individuals.
vocab-occur | vocabulary | occur, occurs, occurred, occurring, occurrence | /əˈkɜːr/ | v | to happen, especially without being planned | xảy ra, diễn ra | Trang trọng hơn "happen". Trong rủi ro: "if the risk occurs" = nếu rủi ro thật sự xảy ra (khác với "khi có rủi ro"). | If the risk occurs, the contingency reserve will be used.
vocab-emphasize | vocabulary | emphasize, emphasizes, emphasized, emphasizing, emphasis, emphasise | /ˈemfəsaɪz/ | v | to give special importance or attention to something | nhấn mạnh, đề cao | Cấu trúc đặc trưng của Agile Manifesto: "X emphasizes A over B" — coi trọng A HƠN B, chứ không phải bỏ hẳn B. | Agile emphasizes working software over comprehensive documentation.
vocab-hence | vocabulary | hence | /hens/ | adv | for this reason; therefore | do đó, vì thế | Từ nối kết quả rất trang trọng, hay xuất hiện trong phần giải thích. Đồng nghĩa: therefore, thus, consequently. | The stories were too large; hence the team could not finish them in one sprint.
vocab-express | vocabulary | express, expresses, expressed, expressing | /ɪkˈspres/ | v | to state or show what you think or feel | bày tỏ, thể hiện | "Express concerns" (bày tỏ lo ngại) là cụm rất hay gặp khi mô tả tình huống có căng thẳng trong nhóm. | Several team members expressed concerns about the aggressive deadline.
vocab-rely | vocabulary | rely, relies, relied, relying, reliance | /rɪˈlaɪ/ | v | to depend on someone or something for support | dựa vào, phụ thuộc vào | Luôn đi với "on": rely ON someone. Trong đề, "relying on a single person" là dấu hiệu rủi ro cần xử lý. | The team relies on a single person to deploy, which is a bottleneck.
vocab-accomplish | vocabulary | accomplish, accomplishes, accomplished, accomplishing, accomplishment | /əˈkɑːmplɪʃ/ | v | to succeed in completing something you set out to do | hoàn thành (điều đã đặt ra) | Mạnh hơn "finish" — hàm ý đạt được MỤC TIÊU, không chỉ làm xong việc. | What did the team accomplish toward the sprint goal yesterday?
vocab-consist | vocabulary | consist, consists, consisting | /kənˈsɪst/ | v | to be made up of particular parts | bao gồm, gồm có | Luôn đi với "of": consist OF. Đừng lẫn với tính từ "consistent" (nhất quán, ổn định) — hai từ khác nghĩa hoàn toàn. | A scrum team consists of a product owner, a scrum master and developers.
vocab-analyze | vocabulary | analyze, analyzes, analyzed, analyzing, analyse, analysis, analytical | /ˈænəlaɪz/ | v | to examine something in detail to understand it | phân tích | Danh từ analysis /əˈnæləsɪs/, số nhiều analyses. Hay gặp: root cause analysis, variance analysis, stakeholder analysis. | The team analysed the defect data before choosing an improvement.
vocab-monitor | vocabulary | monitor, monitors, monitored, monitoring | /ˈmɑːnɪtər/ | v | to watch something over a period to check how it changes | giám sát, theo dõi | Khác "control" (kiểm soát, can thiệp): monitor là QUAN SÁT liên tục. Cụm chuẩn: "monitor and control". | The team monitors the cumulative flow diagram for growing queues.
vocab-duration | vocabulary | duration, durations | /duˈreɪʃn/ | n | the length of time something lasts | thời lượng, khoảng thời gian kéo dài | Phân biệt bắt buộc với "effort": duration = thời gian TRÔI QUA (2 tuần); effort = công sức bỏ ra (80 giờ công). | The sprint duration is fixed, but its scope can be negotiated.
vocab-opinion | vocabulary | opinion, opinions | /əˈpɪnjən/ | n | a personal belief or judgement, not necessarily based on fact | ý kiến cá nhân | Cặp đối chiếu quan trọng: opinion (ý kiến) vs data/evidence (dữ liệu). Agile ưu tiên quyết định dựa trên empirical data. | Decide from data rather than from the most senior person's opinion.
vocab-relevant | vocabulary | relevant, relevance | /ˈreləvənt/ | adj | closely connected to the matter being discussed | liên quan, có ý nghĩa với việc đang bàn | Chữ R trong SMART goals. Trong đề, thông tin "not relevant" là chi tiết gây nhiễu cố ý. | Keep the parking lot for issues that are not relevant to this meeting.
vocab-interaction | vocabulary | interaction, interactions, interact, interacts, interacting | /ˌɪntərˈækʃn/ | n | communication or joint activity between people | sự tương tác | Giá trị Agile số 1 nguyên văn: "individuals and interactions over processes and tools". | Individuals and interactions are valued over processes and tools.
vocab-ceremony | vocabulary | ceremony, ceremonies | /ˈserəmoʊni/ | n | one of the regular recurring meetings in an agile framework | nghi thức, sự kiện định kỳ | Cách gọi thân mật cho các Scrum events (standup, planning, review, retrospective). Scrum Guide chính thức dùng từ "events". | The team felt the ceremonies had become mechanical and added no value.
vocab-observe | vocabulary | observe, observes, observed, observing, observation | /əbˈzɜːrv/ | v | to watch carefully in order to learn something | quan sát | Trang trọng hơn "watch". Gantt của empiricism: bạn observe rồi mới adapt, không đoán trước. | The coach observed the standup before offering any suggestion.
vocab-department | vocabulary | department, departments | /dɪˈpɑːrtmənt/ | n | a section of an organisation dealing with one area of work | phòng ban | Ranh giới phòng ban tạo ra silo — điều Agile muốn phá bỏ bằng cross-functional team. | Cross-functional teams break down the walls between departments.
vocab-automate | vocabulary | automate, automates, automated, automating, automation, automatically | /ˈɔːtəmeɪt/ | v | to make a process run by machine instead of by hand | tự động hóa | Nền tảng của CI/CD: automated tests, automated build, automated deployment. Trái nghĩa: manual. | Automating the regression suite freed the testers for exploratory testing.
vocab-measure | vocabulary | measure, measures, measured, measuring, measurement, measurable | /ˈmeʒər/ | v | to determine the size or amount of something | đo lường | Chữ M trong SMART. Cảnh báo kinh điển: đo sai chỉ số sẽ tạo hành vi sai — đo velocity như KPI năng suất là ví dụ. | Using velocity to measure productivity encourages point inflation.
vocab-high-level | vocabulary | high-level, high level | /ˌhaɪ ˈlevl/ | adj | showing the overall picture without the details | ở mức tổng quát, khái quát | Trái nghĩa: detailed / granular. Roadmap là high-level; sprint backlog là detailed. | The roadmap gives a high-level view of the next two quarters.
vocab-seek | vocabulary | seek, seeks, sought, seeking | /siːk/ | v | to try to find or obtain something | tìm kiếm, đi tìm | Quá khứ bất quy tắc: sought. Hay gặp: seek feedback, seek clarification, seek consensus. | The team sought feedback from real users before building the full feature.
vocab-comprehensive | vocabulary | comprehensive, comprehensively | /ˌkɑːmprɪˈhensɪv/ | adj | complete, including everything that is needed | toàn diện, đầy đủ | Xuất hiện nguyên văn trong Agile Manifesto: "working software over comprehensive documentation" — không phải bỏ tài liệu, mà là không cần đầy đủ mọi thứ. | Working software is valued over comprehensive documentation.
vocab-domain | vocabulary | domain, domains | /doʊˈmeɪn/ | n | a particular area of knowledge, activity or business | lĩnh vực, miền | Hai nghĩa trong đề: (1) lĩnh vực nghiệp vụ — domain knowledge; (2) một trong 4 domain của kỳ thi PMI-ACP. | Domain knowledge helps the team ask the right questions.
vocab-familiar | vocabulary | familiar, unfamiliar, familiarity | /fəˈmɪliər/ | adj | well known to you; easily recognised | quen thuộc | Luôn đi với "with": familiar WITH something. "Unfamiliar technology" là dấu hiệu cần một spike để tìm hiểu. | The team was unfamiliar with the new framework, so it ran a spike.
vocab-extend | vocabulary | extend, extends, extended, extending, extension | /ɪkˈstend/ | v | to make something longer or larger | kéo dài, mở rộng | BẪY LỚN: "extend the sprint" là đáp án SAI gần như luôn luôn — độ dài sprint là bất biến; phải giảm scope thay vì kéo dài thời gian. | Never extend the sprint; reduce scope instead.
vocab-objective | vocabulary | objective, objectives | /əbˈdʒektɪv/ | n | a specific result that you aim to achieve | mục tiêu cụ thể | Cụ thể và đo được hơn "goal". Cũng là tính từ nghĩa "khách quan" (objective data ≠ subjective opinion). | The sprint goal states the objective; the backlog items are just the means.
vocab-underlying | vocabulary | underlying, underlie, underlies | /ˌʌndərˈlaɪɪŋ/ | adj | existing beneath the surface as the real cause | nằm bên dưới, gốc rễ | "The underlying cause/problem" = nguyên nhân THẬT phía sau triệu chứng. Root cause analysis chính là đi tìm cái underlying. | Low velocity is a symptom; the underlying cause was unclear requirements.
vocab-symptom | vocabulary | symptom, symptoms | /ˈsɪmptəm/ | n | a visible sign that a hidden problem exists | triệu chứng, dấu hiệu bề mặt | Cặp đối chiếu bắt buộc: symptom (triệu chứng) vs root cause (nguyên nhân gốc). Sửa symptom thì vấn đề sẽ quay lại. | Treating the symptom without finding the root cause guarantees a relapse.
vocab-intend | vocabulary | intend, intends, intended, intending, intention | /ɪnˈtend/ | v | to have something as your plan or purpose | dự định, có ý định | "The intended outcome" = kết quả MUỐN đạt, chưa chắc là kết quả thật. Cặp đối chiếu: intended vs actual. | The intended benefit was faster feedback, but the effect was the opposite.
vocab-face-to-face | vocabulary | face-to-face, face to face | /ˌfeɪs tə ˈfeɪs/ | adj | with people physically present together | trực tiếp, mặt đối mặt | Nguyên tắc Agile số 6 nguyên văn: face-to-face conversation là cách truyền đạt thông tin HIỆU QUẢ NHẤT trong nhóm. | The most efficient method of conveying information is face-to-face conversation.
vocab-productivity | vocabulary | productivity | /ˌproʊdʌkˈtɪvəti/ | n | the rate at which useful work is produced | năng suất | Cảnh báo: velocity KHÔNG phải thước đo productivity và không được dùng để so sánh giữa các nhóm. Đề rất hay hỏi điểm này. | Velocity is a planning tool, not a productivity measure.
vocab-client | vocabulary | client, clients | /ˈklaɪənt/ | n | the person or organisation that pays for the work | khách hàng (bên thuê làm) | Gần nghĩa "customer" nhưng client thường là bên KÝ HỢP ĐỒNG, customer là người DÙNG sản phẩm. | The client signed a fixed-price contract but expected a changing scope.
vocab-struggle | vocabulary | struggle, struggles, struggled, struggling | /ˈstrʌɡl/ | v | to try hard to do something difficult, with limited success | vật lộn, chật vật | Tín hiệu chẩn đoán trong đề: "the team is struggling to…" báo hiệu có một vấn đề hệ thống cần được nhận ra. | The team is struggling to finish items within the sprint.
vocab-escalate | vocabulary | escalate, escalates, escalated, escalating | /ˈeskəleɪt/ | v | to refer a problem to a higher level of authority | báo cáo lên cấp trên; leo thang | Cảnh báo thứ tự: nhóm phải TỰ xử lý trước, chỉ escalate khi thật sự vượt quá thẩm quyền. Escalate quá sớm là đáp án sai phổ biến. | Escalate only after the team has tried to resolve the impediment itself.
vocab-minimal | vocabulary | minimal, minimally, minimize, minimizes, minimized, minimizing | /ˈmɪnɪml/ | adj | as small in amount or degree as possible | tối thiểu | Gắn với nguyên tắc simplicity: "minimal viable", "minimal documentation", "minimize waste". | Produce just enough documentation — minimal but sufficient.
vocab-achieve | vocabulary | achieve, achieves, achieved, achieving, achievement | /əˈtʃiːv/ | v | to succeed in reaching a goal after effort | đạt được (mục tiêu) | Đi với goal/objective/outcome. "Achieve the sprint goal" là cách diễn đạt chuẩn. | The team could not achieve the sprint goal because of an unplanned outage.
vocab-maximize | vocabulary | maximize, maximizes, maximized, maximizing, maximise | /ˈmæksɪmaɪz/ | v | to increase something as much as possible | tối đa hóa | Trách nhiệm chính của Product Owner nguyên văn: "maximize the value of the product". Cũng gặp trong định nghĩa simplicity. | The product owner is accountable for maximizing the value of the product.
vocab-demonstrate | vocabulary | demonstrate, demonstrates, demonstrated, demonstrating, demonstration | /ˈdemənstreɪt/ | v | to show clearly that something exists or works | thể hiện, trình diễn | Hai nghĩa: chứng tỏ (demonstrate leadership) và trình diễn sản phẩm (demonstrate the increment). | The team demonstrated the increment to stakeholders at the review.
vocab-ongoing | vocabulary | ongoing | /ˈɑːnɡoʊɪŋ/ | adj | continuing; not yet finished | đang diễn ra, liên tục | Nhấn vào việc CHƯA KẾT THÚC: "backlog refinement is an ongoing activity", không phải một cuộc họp một lần. | Refinement is an ongoing activity, not a one-off meeting.
vocab-indicate | vocabulary | indicate, indicates, indicated, indicating, indicator, indicators | /ˈɪndɪkeɪt/ | v | to show or suggest that something is true | cho thấy, chỉ ra | Hay gặp trong phân tích biểu đồ: "the flat line indicates that no work was completed". | A flat burndown line indicates that nothing was finished for several days.
vocab-eliminate | vocabulary | eliminate, eliminates, eliminated, eliminating, elimination | /ɪˈlɪmɪneɪt/ | v | to remove something completely | loại bỏ hoàn toàn | Mạnh hơn "reduce". Cụm cốt lõi của Lean: "eliminate waste" — loại bỏ hẳn, không chỉ giảm bớt. | Lean thinking aims to eliminate waste from the value stream.
vocab-production | vocabulary | production | /prəˈdʌkʃn/ | n | the live environment where real users use the software | môi trường thật (đã phát hành) | Trong ngữ cảnh phần mềm, "in production" = đã chạy thật cho người dùng. Lỗi lọt tới production gọi là escaped defect. | The defect was found in production, after the release.
vocab-concept | vocabulary | concept, concepts, conceptual | /ˈkɑːnsept/ | n | an abstract idea or general notion | khái niệm | Hay gặp trong câu hỏi định nghĩa: "which concept does this describe?". | Which agile concept does this scenario best illustrate?
vocab-target | vocabulary | target, targets, targeted, targeting | /ˈtɑːrɡɪt/ | n | a level or result you aim to reach | chỉ tiêu, mục tiêu số | Cảnh báo Goodhart: khi một chỉ số trở thành target thì nó không còn là thước đo tốt nữa — cực kỳ hay gặp với velocity. | Setting velocity as a target encourages the team to inflate estimates.
vocab-enable | vocabulary | enable, enables, enabled, enabling, enabler | /ɪˈneɪbl/ | v | to make it possible for someone to do something | tạo điều kiện, cho phép | Ngôn ngữ của servant leadership: leader ENABLE nhóm chứ không CONTROL nhóm. | Automation enables the team to release at any time.
vocab-approval | vocabulary | approval, approvals, approve, approves, approved, approving | /əˈpruːvl/ | n | official agreement that something may proceed | sự phê duyệt | Nhiều tầng approval là dạng lãng phí (waiting) trong Lean và làm chậm dòng chảy giá trị. | Multiple approval gates increase lead time without improving quality.
vocab-launch | vocabulary | launch, launches, launched, launching | /lɔːntʃ/ | v | to make a product available to the market for the first time | ra mắt, tung ra thị trường | Khác "release" (phát hành bản mới, có thể nhiều lần): launch là lần ĐẦU đưa ra thị trường. | The MVP was launched to a small segment to test the assumption.
vocab-motivate | vocabulary | motivate, motivates, motivated, motivating, motivation | /ˈmoʊtɪveɪt/ | v | to give someone a reason to act with energy and commitment | tạo động lực | Nguyên tắc Agile số 5: xây dự án quanh những "motivated individuals". Động lực nội tại đến từ autonomy, mastery, purpose. | Build projects around motivated individuals and trust them.
vocab-real-time | vocabulary | real-time, real time | /ˈriːl taɪm/ | adj | happening immediately, as events occur | thời gian thực, tức thời | Gắn với information radiator và dashboard: thông tin cập nhật NGAY, không phải báo cáo hàng tuần. | An information radiator gives real-time visibility of progress.
vocab-strict | vocabulary | strict, strictly | /strɪkt/ | adj | rigidly enforced, allowing no exception | nghiêm ngặt, chặt chẽ | Từ chỉ mức tuyệt đối — hãy cẩn thận: "strictly follow the plan" thường trái với tinh thần Agile. | Strictly following the original plan ignores everything the team has learned.
vocab-optimize | vocabulary | optimize, optimizes, optimized, optimizing, optimise, optimization | /ˈɑːptɪmaɪz/ | v | to make something work as well as possible | tối ưu hóa | Systems thinking cảnh báo: tối ưu MỘT bộ phận (local optimization) có thể làm hại TOÀN HỆ THỐNG. | Optimising one department often makes the whole value stream slower.
vocab-dedicated | vocabulary | dedicated, dedicate, dedicates, dedicating | /ˈdedɪkeɪtɪd/ | adj | assigned to only one purpose or one team | chuyên trách, dành riêng | "A dedicated team" = nhóm chỉ làm một sản phẩm, không chia người cho nhiều dự án — điều Agile khuyến khích mạnh. | Dedicated teams outperform teams split across several projects.
vocab-aware | vocabulary | aware | /əˈwer/ | adj | knowing that something exists or is happening | nhận thức được, biết về | Đi với "of": aware OF something. "Situational awareness" = nắm được tình hình chung. | The team was not aware of the dependency until the release failed.
vocab-disrupt | vocabulary | disrupt, disrupts, disrupted, disrupting, disruption, disruptive | /dɪsˈrʌpt/ | v | to interrupt something so it cannot continue normally | làm gián đoạn, phá vỡ | Trong nhóm: "disruptive behaviour" là hành vi phá nhịp làm việc — dạng tình huống hay gặp trong domain Leadership. | Constant interruptions disrupt the team's flow.
vocab-realize | vocabulary | realize, realizes, realized, realizing, realise, realization | /ˈriːəlaɪz/ | v | to become aware of something, or to make something real | nhận ra; hiện thực hóa | Hai nghĩa: (1) nhận ra — the team realized the estimate was wrong; (2) hiện thực hóa — realize the benefits (thu được lợi ích thật). | Benefits are realized only after the feature is actually used.
vocab-artifact | vocabulary | artifact, artifacts, artefact, artefacts | /ˈɑːrtɪfækt/ | n | a tangible work product created and used by the team | tạo tác, sản phẩm công việc | Scrum có đúng 3 artifacts: product backlog, sprint backlog, increment. Con số này hay bị hỏi trực tiếp. | Scrum defines three artifacts and three accountabilities.
vocab-trend | vocabulary | trend, trends, trending | /trend/ | n | the general direction in which something is changing over time | xu hướng | Điều quan trọng ở biểu đồ là XU HƯỚNG nhiều kỳ, không phải con số một kỳ. Velocity phải nhìn theo trend. | Look at the velocity trend over several sprints, not at a single number.
vocab-accurate | vocabulary | accurate, accurately, accuracy, inaccurate | /ˈækjərət/ | adj | correct and exact in every detail | chính xác | Phân biệt với "precise": accurate = ĐÚNG so với thực tế; precise = CHI TIẾT, mịn. Ước lượng có thể rất precise mà vẫn không accurate. | A precise estimate is not necessarily an accurate one.
vocab-misalignment | vocabulary | misalignment, misaligned | /ˌmɪsəˈlaɪnmənt/ | n | a state in which people or goals are not in agreement | sự lệch pha, không đồng nhất | Tiền tố mis- = sai/lệch. Misalignment giữa các bên là nguyên nhân gốc rất hay gặp trong các tình huống đề thi. | Misalignment between sales and the team caused conflicting priorities.
vocab-incorporate | vocabulary | incorporate, incorporates, incorporated, incorporating | /ɪnˈkɔːrpəreɪt/ | v | to include something as part of a larger whole | tích hợp, đưa vào | Cụm chuẩn: "incorporate feedback into the product" = đưa phản hồi vào sản phẩm. | The team incorporated the review feedback into the next sprint's backlog.
vocab-rework | vocabulary | rework, reworks, reworked, reworking | /ˈriːwɜːrk/ | n | work that has to be done again because it was not right the first time | làm lại, sửa lại | Một trong bảy loại lãng phí của Lean (defects). Rework cao là dấu hiệu chất lượng kém hoặc yêu cầu mơ hồ. | Late feedback increases rework and therefore cost.
vocab-experiment | vocabulary | experiment, experiments, experimenting, experimented, experimentation | /ɪkˈsperɪmənt/ | n | a small controlled trial run to test whether an idea works | thử nghiệm | Cách đúng để cải tiến trong môi trường complex: thử nhỏ, đo, rồi mở rộng hoặc bỏ. Retrospective nên tạo ra experiment. | Treat each improvement as an experiment with a measurable outcome.
vocab-evaluate | vocabulary | evaluate, evaluates, evaluated, evaluating, evaluation | /ɪˈvæljueɪt/ | v | to judge the value or quality of something carefully | đánh giá (giá trị, chất lượng) | Gần nghĩa assess nhưng nhấn vào việc so với TIÊU CHÍ: evaluate options against criteria. | The team evaluated three options against the acceptance criteria.
vocab-interruption | vocabulary | interruption, interruptions, interrupt, interrupts, interrupted | /ˌɪntəˈrʌpʃn/ | n | something that stops an activity temporarily | sự gián đoạn | Nguyên nhân chính khiến flow efficiency thấp. Nhóm bị interrupt liên tục thì velocity không thể ổn định. | Frequent interruptions destroy the team's ability to reach flow.
vocab-particular | vocabulary | particular, particularly | /pərˈtɪkjələr/ | adj | specific; this one rather than any other | cụ thể, riêng biệt | "In this particular situation" là cụm khoanh vùng — nhắc bạn chọn đáp án hợp với TÌNH HUỐNG NÀY, không phải nguyên tắc chung. | In this particular case, a hybrid approach is justified.
vocab-characteristic | vocabulary | characteristic, characteristics, characterize, characterized | /ˌkærəktəˈrɪstɪk/ | n | a typical feature that helps identify something | đặc điểm, đặc trưng | Dạng câu hỏi phổ biến: "which is a characteristic of a self-organizing team?" — hỏi đặc điểm nhận dạng. | Which characteristic best describes a high-performing agile team?
